event_id,event_time,session_id,customer_id,event_type,product_id,detail,device,variant
E000042,2026-01-01T16:12:24,S000007,C0206,purchase,P008,279000,desktop,
E000043,2026-01-01T07:31:00,S000008,,session_start,,search_ad,desktop,
E000044,2026-01-01T07:31:23,S000008,,view_category,,outer,desktop,
E000045,2026-01-01T07:31:40,S000008,,apply_filter,,price=under_50k,desktop,
E000046,2026-01-01T07:32:57,S000008,,view_item,P008,,desktop,
E000047,2026-01-01T07:33:01,S000008,,wishlist_add,P008,,desktop,
E000048,2026-01-01T08:34:00,S000009,C0577,session_start,,push,app,
E000049,2026-01-01T08:34:05,S000009,C0577,view_category,,bottom,app,
E000050,2026-01-01T08:34:20,S000009,C0577,view_item,P053,,app,
E000051,2026-01-01T08:35:38,S000009,C0577,view_item,P042,,app,
E000052,2026-01-01T08:36:06,S000009,C0577,view_item,P055,,app,
E000053,2026-01-01T20:13:00,S000010,,session_start,,search_ad,mobile,
E000054,2026-01-01T20:13:15,S000010,,view_category,,top,mobile,
E000055,2026-01-01T20:13:44,S000010,,view_item,P040,,mobile,
E000056,2026-01-01T20:15:02,S000010,,view_item,P026,,mobile,
E000057,2026-01-01T20:16:02,S000010,,view_item,P020,,mobile,
E000058,2026-01-01T13:33:00,S000011,,session_start,,sns,desktop,
E000059,2026-01-01T13:33:24,S000011,,search,,린넨 셔츠|18,desktop,
E000060,2026-01-01T13:33:47,S000011,,view_category,,dress,desktop,
E000061,2026-01-01T13:35:12,S000011,,view_item,P069,,desktop,
E000062,2026-01-01T13:36:15,S000011,,view_item,P061,,desktop,
E000063,2026-01-01T13:37:10,S000011,,view_item,P063,,desktop,
E000064,2026-01-01T13:37:15,S000011,,add_to_cart,P063,,desktop,
E000065,2026-01-01T13:37:37,S000011,,begin_checkout,P063,,desktop,
E000066,2026-01-01T16:31:00,S000012,C0190,session_start,,search_ad,app,
E000067,2026-01-01T16:31:13,S000012,C0190,search,,오버핏 코트|12,app,
E000068,2026-01-01T16:31:31,S000012,C0190,view_category,,bottom,app,
E000069,2026-01-01T16:31:46,S000012,C0190,apply_filter,,category=dress,app,
E000070,2026-01-01T16:32:12,S000012,C0190,view_item,P058,,app,
E000071,2026-01-01T16:32:52,S000012,C0190,view_item,P042,,app,
E000072,2026-01-01T16:49:00,S000013,,session_start,,organic,mobile,
E000073,2026-01-01T16:49:11,S000013,,search,,크롭 니트|9,mobile,
E000074,2026-01-01T16:49:19,S000013,,view_category,,bag,mobile,
E000075,2026-01-01T16:49:37,S000013,,apply_filter,,price=over_200k,mobile,
E000076,2026-01-01T16:51:03,S000013,,view_item,P073,,mobile,
E000077,2026-01-01T16:51:30,S000013,,add_to_cart,P073,,mobile,
E000078,2026-01-01T16:52:08,S000013,,begin_checkout,P073,,mobile,
E000079,2026-01-01T16:53:16,S000013,,purchase,P073,75000,mobile,
E000080,2026-01-01T08:15:00,S000014,C0433,session_start,,push,mobile,
E000081,2026-01-01T08:15:17,S000014,C0433,view_category,,bag,mobile,
E000082,2026-01-01T08:15:20,S000014,C0433,apply_filter,,sort=newest,mobile,
E000083,2026-01-01T08:16:29,S000014,C0433,view_item,P076,,mobile,
E000084,2026-01-01T12:15:00,S000015,C0384,session_start,,organic,desktop,
E000085,2026-01-01T12:15:38,S000015,C0384,search,,여름 하객룩|7,desktop,
E000086,2026-01-01T12:16:02,S000015,C0384,view_category,,top,desktop,
E000087,2026-01-01T12:16:54,S000015,C0384,view_item,P020,,desktop,
E000088,2026-01-01T12:16:59,S000015,C0384,add_to_cart,P020,,desktop,
E000089,2026-01-01T23:25:00,S000016,,session_start,,push,mobile,
E000090,2026-01-01T23:25:13,S000016,,view_category,,bottom,mobile,
E000091,2026-01-01T23:25:20,S000016,,apply_filter,,sort=popular,mobile,
E000092,2026-01-01T23:26:04,S000016,,view_item,P049,,mobile,
E000093,2026-01-01T23:26:23,S000016,,add_to_cart,P049,,mobile,
E000094,2026-01-01T23:27:02,S000016,,begin_checkout,P049,,mobile,
E000095,2026-01-01T10:26:00,S000017,,session_start,,search_ad,mobile,
E000096,2026-01-01T10:26:17,S000017,,view_category,,outer,mobile,
E000097,2026-01-01T10:26:45,S000017,,view_item,P006,,mobile,
E000098,2026-01-01T10:28:02,S000017,,view_item,P017,,mobile,
E000099,2026-01-01T10:28:13,S000017,,wishlist_add,P017,,mobile,
E000100,2026-01-01T19:44:00,S000018,C0350,session_start,,search_ad,app,
E000101,2026-01-01T19:44:08,S000018,C0350,search,,발레코어|0,app,
E000102,2026-01-01T19:16:00,S000019,,session_start,,organic,mobile,
E000103,2026-01-01T19:16:12,S000019,,view_category,,bag,mobile,
E000104,2026-01-01T19:17:23,S000019,,view_item,P073,,mobile,
E000105,2026-01-01T19:18:33,S000019,,view_item,P080,,mobile,
E000106,2026-01-01T19:18:42,S000019,,wishlist_add,P080,,mobile,
E000107,2026-01-01T19:19:04,S000019,,add_to_cart,P080,,mobile,
E000108,2026-01-01T19:19:39,S000019,,begin_checkout,P080,,mobile,
E000109,2026-01-01T19:21:24,S000019,,purchase,P080,109000,mobile,
E000110,2026-01-01T17:47:00,S000020,,session_start,,search_ad,mobile,
E000111,2026-01-01T17:47:33,S000020,,search,,바라클라바|0,mobile,
E000112,2026-01-01T12:12:00,S000021,,session_start,,push,mobile,
E000113,2026-01-01T12:12:06,S000021,,view_category,,bag,mobile,
E000114,2026-01-01T12:12:13,S000021,,apply_filter,,category=outer,mobile,
E000115,2026-01-01T12:13:24,S000021,,view_item,P073,,mobile,
E000116,2026-01-01T12:14:05,S000021,,view_item,P078,,mobile,
E000117,2026-01-01T12:14:49,S000021,,view_item,P073,,mobile,
E000118,2026-01-01T12:27:00,S000022,C0451,session_start,,push,app,
E000119,2026-01-01T12:27:33,S000022,C0451,search,,린넨 셔츠|18,app,
E000120,2026-01-01T12:27:42,S000022,C0451,view_category,,bag,app,
E000121,2026-01-01T12:28:21,S000022,C0451,view_item,P080,,app,
E000122,2026-01-01T11:53:00,S000023,C0188,session_start,,direct,mobile,
E000123,2026-01-01T11:53:11,S000023,C0188,view_category,,outer,mobile,
E000124,2026-01-01T11:53:15,S000023,C0188,apply_filter,,color=beige,mobile,
E000125,2026-01-01T11:54:23,S000023,C0188,view_item,P005,,mobile,
E000126,2026-01-01T11:54:49,S000023,C0188,view_item,P008,,mobile,
E000127,2026-01-01T11:56:11,S000023,C0188,view_item,P008,,mobile,
E000128,2026-01-01T11:57:24,S000023,C0188,view_item,P011,,mobile,
E000129,2026-01-01T11:57:52,S000023,C0188,view_item,P015,,mobile,
E000130,2026-01-01T11:58:25,S000023,C0188,view_item,P017,,mobile,
E000131,2026-01-01T11:29:00,S000024,C0084,session_start,,search_ad,mobile,
E000132,2026-01-01T11:29:26,S000024,C0084,search,,77사이즈 원피스|0,mobile,
E000133,2026-01-01T13:02:00,S000025,C0357,session_start,,direct,app,
E000134,2026-01-01T13:02:17,S000025,C0357,view_category,,dress,app,
E000135,2026-01-01T13:03:34,S000025,C0357,view_item,P062,,app,
E000136,2026-01-01T17:29:00,S000026,C0479,session_start,,search_ad,app,
E000137,2026-01-01T17:29:14,S000026,C0479,view_category,,dress,app,
E000138,2026-01-01T17:29:21,S000026,C0479,apply_filter,,price=over_200k,app,
E000139,2026-01-01T17:30:10,S000026,C0479,view_item,P067,,app,
E000140,2026-01-01T17:30:39,S000026,C0479,view_item,P064,,app,
E000141,2026-01-01T17:32:07,S000026,C0479,view_item,P061,,app,
E000142,2026-01-01T17:32:23,S000026,C0479,add_to_cart,P061,,app,
E000143,2026-01-01T17:33:21,S000026,C0479,begin_checkout,P061,,app,
E000144,2026-01-01T17:41:00,S000027,,session_start,,organic,desktop,
E000145,2026-01-01T17:41:17,S000027,,view_category,,outer,desktop,
E000146,2026-01-01T17:42:13,S000027,,view_item,P001,,desktop,
E000147,2026-01-01T17:42:59,S000027,,view_item,P008,,desktop,
E000148,2026-01-01T19:12:00,S000028,,session_start,,search_ad,mobile,
E000149,2026-01-01T19:12:06,S000028,,view_category,,bottom,mobile,
E000150,2026-01-01T19:12:22,S000028,,view_item,P060,,mobile,
E000151,2026-01-01T13:27:00,S000029,C0234,session_start,,search_ad,mobile,
E000152,2026-01-01T13:27:26,S000029,C0234,search,,와이드 팬츠|24,mobile,
E000153,2026-01-01T13:27:49,S000029,C0234,view_category,,bottom,mobile,
E000154,2026-01-01T13:28:06,S000029,C0234,apply_filter,,fit=슬림핏,mobile,
E000155,2026-01-01T13:28:44,S000029,C0234,view_item,P042,,mobile,
E000156,2026-01-01T13:29:41,S000029,C0234,view_item,P059,,mobile,
E000157,2026-01-01T13:29:58,S000029,C0234,view_item,P055,,mobile,
E000158,2026-01-01T13:30:14,S000029,C0234,view_item,P057,,mobile,
E000159,2026-01-01T14:30:00,S000030,,session_start,,search_ad,mobile,
E000160,2026-01-01T14:30:32,S000030,,search,,빅사이즈 팬츠|0,mobile,
E000161,2026-01-01T14:30:58,S000030,,view_category,,top,mobile,
E000162,2026-01-01T14:31:52,S000030,,view_item,P026,,mobile,
E000163,2026-01-01T14:32:58,S000030,,view_item,P040,,mobile,
E000164,2026-01-01T14:33:41,S000030,,view_item,P027,,mobile,
E000165,2026-01-01T14:33:52,S000030,,wishlist_add,P027,,mobile,
E000166,2026-01-01T14:34:23,S000030,,add_to_cart,P027,,mobile,
E000167,2026-01-01T14:35:05,S000030,,begin_checkout,P027,,mobile,
E000168,2026-01-01T14:37:53,S000030,,purchase,P027,63000,mobile,
E000169,2026-01-01T19:15:00,S000031,C0499,session_start,,sns,app,
E000170,2026-01-01T19:15:29,S000031,C0499,search,,바라클라바|0,app,
E000171,2026-01-01T17:53:00,S000032,,session_start,,organic,mobile,
E000172,2026-01-01T17:53:23,S000032,,view_category,,top,mobile,
E000173,2026-01-01T17:53:40,S000032,,apply_filter,,category=bottom,mobile,
E000174,2026-01-01T17:53:51,S000032,,view_item,P038,,mobile,
E000175,2026-01-01T17:54:04,S000032,,view_item,P027,,mobile,
E000176,2026-01-01T17:54:52,S000032,,view_item,P040,,mobile,
E000177,2026-01-01T23:16:00,S000033,C0600,session_start,,direct,app,
E000178,2026-01-01T23:16:25,S000033,C0600,view_category,,bottom,app,
E000179,2026-01-01T23:17:06,S000033,C0600,view_item,P055,,app,
E000180,2026-01-01T23:18:17,S000033,C0600,view_item,P044,,app,
E000181,2026-01-01T19:22:00,S000034,C0216,session_start,,sns,desktop,
E000182,2026-01-01T19:22:17,S000034,C0216,view_category,,outer,desktop,
E000183,2026-01-01T19:23:35,S000034,C0216,view_item,P017,,desktop,
E000184,2026-01-01T19:23:47,S000034,C0216,view_item,P016,,desktop,
E000185,2026-01-01T19:24:04,S000034,C0216,view_item,P001,,desktop,
E000186,2026-01-01T19:25:32,S000034,C0216,view_item,P013,,desktop,
E000187,2026-01-01T23:01:00,S000035,,session_start,,search_ad,desktop,
E000188,2026-01-01T23:01:14,S000035,,view_category,,bottom,desktop,
E000189,2026-01-01T23:02:34,S000035,,view_item,P043,,desktop,
E000190,2026-01-01T23:03:54,S000035,,view_item,P053,,desktop,
E000191,2026-01-01T23:05:08,S000035,,view_item,P060,,desktop,
E000192,2026-01-01T23:05:18,S000035,,wishlist_add,P060,,desktop,
E000193,2026-01-01T23:05:37,S000035,,add_to_cart,P060,,desktop,
E000194,2026-01-01T23:05:52,S000035,,begin_checkout,P060,,desktop,
E000195,2026-01-01T19:15:00,S000036,,session_start,,direct,desktop,
E000196,2026-01-01T19:15:22,S000036,,search,,토트백|6,desktop,
E000197,2026-01-01T19:15:37,S000036,,view_category,,top,desktop,
E000198,2026-01-01T19:15:50,S000036,,apply_filter,,category=dress,desktop,
E000199,2026-01-01T19:17:14,S000036,,view_item,P040,,desktop,
E000200,2026-01-01T19:18:21,S000036,,view_item,P030,,desktop,
E000201,2026-01-01T19:18:38,S000036,,view_item,P039,,desktop,
E000202,2026-01-01T15:03:00,S000037,,session_start,,push,mobile,
E000203,2026-01-01T15:03:14,S000037,,view_category,,outer,mobile,
E000204,2026-01-01T15:03:25,S000037,,apply_filter,,fit=와이드,mobile,
E000205,2026-01-01T15:03:39,S000037,,view_item,P017,,mobile,
E000206,2026-01-01T15:05:00,S000037,,view_item,P015,,mobile,
E000207,2026-01-01T15:06:08,S000037,,view_item,P008,,mobile,
E000208,2026-01-01T15:07:34,S000037,,view_item,P017,,mobile,
E000209,2026-01-01T15:08:12,S000037,,add_to_cart,P017,,mobile,
E000210,2026-01-01T14:39:00,S000038,C0577,session_start,,search_ad,app,
E000211,2026-01-01T14:39:13,S000038,C0577,search,,바라클라바|0,app,
E000212,2026-01-01T14:39:24,S000038,C0577,view_category,,bottom,app,
E000213,2026-01-01T14:40:31,S000038,C0577,view_item,P043,,app,
E000214,2026-01-01T19:46:00,S000039,,session_start,,search_ad,mobile,
E000215,2026-01-01T19:46:06,S000039,,search,,발레코어|0,mobile,
E000216,2026-01-01T13:48:00,S000040,C0411,session_start,,push,app,
E000217,2026-01-01T13:48:38,S000040,C0411,search,,데님 스커트|8,app,
E000218,2026-01-01T13:48:53,S000040,C0411,view_category,,bottom,app,
E000219,2026-01-01T13:49:09,S000040,C0411,view_item,P055,,app,
E000220,2026-01-01T13:49:44,S000040,C0411,add_to_cart,P055,,app,
E000221,2026-01-01T13:50:24,S000040,C0411,begin_checkout,P055,,app,
E000222,2026-01-01T12:29:00,S000041,,session_start,,direct,desktop,
E000223,2026-01-01T12:29:20,S000041,,search,,데님 스커트|8,desktop,
E000224,2026-01-01T12:29:37,S000041,,view_category,,bag,desktop,
E000225,2026-01-01T12:29:52,S000041,,apply_filter,,price=100k_200k,desktop,
E000226,2026-01-01T12:30:41,S000041,,view_item,P076,,desktop,
E000227,2026-01-01T12:31:19,S000041,,add_to_cart,P076,,desktop,
E000228,2026-01-01T12:31:36,S000041,,begin_checkout,P076,,desktop,
E000229,2026-01-01T12:34:12,S000041,,purchase,P076,101000,desktop,
E000230,2026-01-01T17:17:00,S000042,,session_start,,organic,desktop,
E000231,2026-01-01T17:17:33,S000042,,search,,와이드 팬츠|24,desktop,
E000232,2026-01-01T17:17:55,S000042,,view_category,,top,desktop,
E000233,2026-01-01T17:18:01,S000042,,apply_filter,,price=over_200k,desktop,
E000234,2026-01-01T17:18:29,S000042,,view_item,P028,,desktop,
E000235,2026-01-01T14:31:00,S000043,C0443,session_start,,direct,app,
E000236,2026-01-01T14:31:35,S000043,C0443,search,,블랙 슬랙스|11,app,
E000237,2026-01-01T14:32:01,S000043,C0443,view_category,,bag,app,
E000238,2026-01-01T14:32:41,S000043,C0443,view_item,P077,,app,
E000239,2026-01-01T08:03:00,S000044,C0211,session_start,,direct,mobile,
E000240,2026-01-01T08:03:18,S000044,C0211,view_category,,outer,mobile,
E000241,2026-01-01T08:03:35,S000044,C0211,apply_filter,,category=top,mobile,
E000242,2026-01-01T08:04:25,S000044,C0211,view_item,P001,,mobile,
E000243,2026-01-01T08:04:49,S000044,C0211,view_item,P017,,mobile,
E000244,2026-01-01T08:05:59,S000044,C0211,view_item,P013,,mobile,
E000245,2026-01-01T08:06:23,S000044,C0211,view_item,P010,,mobile,
E000246,2026-01-01T08:06:50,S000044,C0211,add_to_cart,P010,,mobile,
E000247,2026-01-01T08:07:07,S000044,C0211,begin_checkout,P010,,mobile,
E000248,2026-01-01T12:02:00,S000045,,session_start,,organic,mobile,
E000249,2026-01-01T12:02:08,S000045,,view_category,,dress,mobile,
E000250,2026-01-01T12:02:17,S000045,,apply_filter,,fit=오버핏,mobile,
E000251,2026-01-01T12:03:25,S000045,,view_item,P064,,mobile,
E000252,2026-01-01T12:04:33,S000045,,view_item,P061,,mobile,
E000253,2026-01-01T12:05:59,S000045,,view_item,P066,,mobile,
E000254,2026-01-01T12:06:30,S000045,,add_to_cart,P066,,mobile,
E000255,2026-01-01T12:07:19,S000045,,begin_checkout,P066,,mobile,
E000256,2026-01-01T12:08:16,S000045,,purchase,P066,110000,mobile,
E000257,2026-01-01T11:11:00,S000046,,session_start,,organic,desktop,
E000258,2026-01-01T11:11:07,S000046,,view_category,,outer,desktop,
E000259,2026-01-01T11:11:20,S000046,,apply_filter,,price=50k_100k,desktop,
E000260,2026-01-01T11:12:23,S000046,,view_item,P008,,desktop,
E000261,2026-01-01T11:13:02,S000046,,view_item,P008,,desktop,
E000262,2026-01-01T08:37:00,S000047,,session_start,,organic,mobile,
E000263,2026-01-01T08:37:28,S000047,,view_category,,outer,mobile,
E000264,2026-01-01T08:38:38,S000047,,view_item,P008,,mobile,
E000265,2026-01-01T19:46:00,S000048,,session_start,,search_ad,mobile,
E000266,2026-01-01T19:46:08,S000048,,view_category,,dress,mobile,
E000267,2026-01-01T19:46:16,S000048,,apply_filter,,size=XL,mobile,
E000268,2026-01-01T19:47:42,S000048,,view_item,P069,,mobile,
E000269,2026-01-01T19:48:17,S000048,,view_item,P064,,mobile,
E000270,2026-01-02T12:12:00,S000049,C0249,session_start,,organic,app,
E000271,2026-01-02T12:12:27,S000049,C0249,view_category,,bag,app,
E000272,2026-01-02T12:13:09,S000049,C0249,view_item,P075,,app,
E000273,2026-01-02T12:39:00,S000050,C0103,session_start,,organic,mobile,
E000274,2026-01-02T12:39:08,S000050,C0103,view_category,,bottom,mobile,
E000275,2026-01-02T12:40:29,S000050,C0103,view_item,P052,,mobile,
E000276,2026-01-02T12:41:01,S000050,C0103,view_item,P053,,mobile,
E000277,2026-01-02T12:41:55,S000050,C0103,view_item,P041,,mobile,
E000278,2026-01-02T15:51:00,S000051,,session_start,,sns,mobile,
E000279,2026-01-02T15:51:25,S000051,,search,,발레코어|0,mobile,
E000280,2026-01-02T14:36:00,S000052,,session_start,,organic,desktop,
E000281,2026-01-02T14:36:25,S000052,,view_category,,top,desktop,
E000282,2026-01-02T14:36:32,S000052,,apply_filter,,sort=newest,desktop,
E000283,2026-01-02T14:37:04,S000052,,view_item,P020,,desktop,
E000284,2026-01-02T15:10:00,S000053,C0153,session_start,,direct,desktop,
E000285,2026-01-02T15:10:39,S000053,C0153,search,,빅사이즈 팬츠|0,desktop,
E000286,2026-01-02T17:09:00,S000054,C0090,session_start,,push,app,
E000287,2026-01-02T17:09:07,S000054,C0090,search,,바라클라바|0,app,
E000288,2026-01-02T17:09:24,S000054,C0090,view_category,,outer,app,
E000289,2026-01-02T17:09:42,S000054,C0090,apply_filter,,sort=newest,app,
E000290,2026-01-02T17:10:51,S000054,C0090,view_item,P017,,app,
E000291,2026-01-02T17:11:14,S000054,C0090,add_to_cart,P017,,app,
E000292,2026-01-02T12:01:00,S000055,,session_start,,direct,mobile,
E000293,2026-01-02T12:01:08,S000055,,search,,77사이즈 원피스|0,mobile,
E000294,2026-01-02T23:17:00,S000056,,session_start,,sns,mobile,
E000295,2026-01-02T23:17:08,S000056,,view_category,,top,mobile,
E000296,2026-01-02T23:18:37,S000056,,view_item,P036,,mobile,
E000297,2026-01-02T23:19:29,S000056,,view_item,P040,,mobile,
E000298,2026-01-02T13:47:00,S000057,,session_start,,direct,mobile,
E000299,2026-01-02T13:47:06,S000057,,view_category,,bag,mobile,
E000300,2026-01-02T13:47:10,S000057,,apply_filter,,price=under_50k,mobile,
E000301,2026-01-02T13:47:47,S000057,,view_item,P073,,mobile,
E000302,2026-01-02T08:35:00,S000058,C0242,session_start,,sns,mobile,
E000303,2026-01-02T08:35:14,S000058,C0242,view_category,,bag,mobile,
E000304,2026-01-02T08:36:26,S000058,C0242,view_item,P080,,mobile,
E000305,2026-01-02T08:37:02,S000058,C0242,view_item,P079,,mobile,
E000306,2026-01-02T08:37:32,S000058,C0242,view_item,P073,,mobile,
E000307,2026-01-02T08:37:40,S000058,C0242,wishlist_add,P073,,mobile,
E000308,2026-01-02T20:54:00,S000059,,session_start,,push,mobile,
E000309,2026-01-02T20:54:29,S000059,,search,,린넨 셔츠|18,mobile,
E000310,2026-01-02T20:54:35,S000059,,view_category,,bag,mobile,
E000311,2026-01-02T20:54:50,S000059,,apply_filter,,price=over_200k,mobile,
E000312,2026-01-02T20:55:31,S000059,,view_item,P075,,mobile,
E000313,2026-01-02T20:56:59,S000059,,view_item,P078,,mobile,
E000314,2026-01-02T20:57:10,S000059,,wishlist_add,P078,,mobile,
E000315,2026-01-02T18:13:00,S000060,,session_start,,search_ad,mobile,
E000316,2026-01-02T18:13:22,S000060,,view_category,,bottom,mobile,
E000317,2026-01-02T18:13:33,S000060,,apply_filter,,size=S,mobile,
E000318,2026-01-02T18:13:53,S000060,,view_item,P050,,mobile,
E000319,2026-01-02T21:42:00,S000061,C0164,session_start,,sns,desktop,
E000320,2026-01-02T21:42:17,S000061,C0164,search,,토트백|6,desktop,
E000321,2026-01-02T21:42:27,S000061,C0164,view_category,,top,desktop,
E000322,2026-01-02T21:42:36,S000061,C0164,apply_filter,,fit=레귤러핏,desktop,
E000323,2026-01-02T21:44:02,S000061,C0164,view_item,P040,,desktop,
E000324,2026-01-02T21:44:52,S000061,C0164,view_item,P039,,desktop,
E000325,2026-01-02T21:45:00,S000061,C0164,wishlist_add,P039,,desktop,
E000326,2026-01-02T09:21:00,S000062,C0186,session_start,,search_ad,mobile,
E000327,2026-01-02T09:21:32,S000062,C0186,search,,하객룩 원피스|15,mobile,
E000328,2026-01-02T09:21:56,S000062,C0186,view_category,,outer,mobile,
E000329,2026-01-02T09:22:23,S000062,C0186,view_item,P001,,mobile,
E000330,2026-01-02T17:09:00,S000063,,session_start,,sns,mobile,
E000331,2026-01-02T17:09:10,S000063,,search,,와이드 팬츠|24,mobile,
E000332,2026-01-02T17:09:28,S000063,,view_category,,bottom,mobile,
E000333,2026-01-02T17:09:46,S000063,,view_item,P055,,mobile,
E000334,2026-01-02T17:10:56,S000063,,view_item,P060,,mobile,
E000335,2026-01-02T17:11:07,S000063,,add_to_cart,P060,,mobile,
E000336,2026-01-02T17:11:37,S000063,,begin_checkout,P060,,mobile,
E000337,2026-01-02T17:13:48,S000063,,purchase,P060,82000,mobile,
E000338,2026-01-02T11:37:00,S000064,,session_start,,organic,desktop,
E000339,2026-01-02T11:37:11,S000064,,view_category,,outer,desktop,
E000340,2026-01-02T11:37:22,S000064,,view_item,P015,,desktop,
E000341,2026-01-02T16:41:00,S000065,,session_start,,organic,desktop,
E000342,2026-01-02T16:41:14,S000065,,view_category,,bag,desktop,
E000343,2026-01-02T16:42:05,S000065,,view_item,P073,,desktop,
E000344,2026-01-02T16:43:12,S000065,,view_item,P073,,desktop,
E000345,2026-01-02T16:43:25,S000065,,view_item,P076,,desktop,
E000346,2026-01-02T16:44:15,S000065,,view_item,P073,,desktop,
E000347,2026-01-02T16:45:08,S000065,,view_item,P075,,desktop,
E000348,2026-01-02T16:46:26,S000065,,view_item,P073,,desktop,
E000349,2026-01-02T16:46:42,S000065,,add_to_cart,P073,,desktop,
E000350,2026-01-02T16:47:39,S000065,,begin_checkout,P073,,desktop,
E000351,2026-01-02T23:14:00,S000066,C0279,session_start,,sns,app,
E000352,2026-01-02T23:14:18,S000066,C0279,view_category,,outer,app,
E000353,2026-01-02T23:14:31,S000066,C0279,apply_filter,,color=beige,app,
E000354,2026-01-02T23:15:33,S000066,C0279,view_item,P017,,app,
E000355,2026-01-02T23:16:40,S000066,C0279,view_item,P001,,app,
E000356,2026-01-02T23:18:06,S000066,C0279,view_item,P015,,app,
E000357,2026-01-02T23:18:36,S000066,C0279,view_item,P006,,app,
E000358,2026-01-02T23:19:44,S000066,C0279,view_item,P017,,app,
E000359,2026-01-02T23:20:18,S000066,C0279,view_item,P008,,app,
E000360,2026-01-02T23:20:28,S000066,C0279,add_to_cart,P008,,app,
E000361,2026-01-02T23:21:16,S000066,C0279,begin_checkout,P008,,app,
E000362,2026-01-02T23:22:50,S000066,C0279,purchase,P008,279000,app,
E000363,2026-01-02T15:59:00,S000067,C0492,session_start,,direct,app,
E000364,2026-01-02T15:59:25,S000067,C0492,view_category,,outer,app,
E000365,2026-01-02T15:59:59,S000067,C0492,view_item,P011,,app,
E000366,2026-01-02T16:01:00,S000067,C0492,view_item,P001,,app,
E000367,2026-01-02T16:02:06,S000067,C0492,view_item,P017,,app,
E000368,2026-01-02T16:02:50,S000067,C0492,view_item,P014,,app,
E000369,2026-01-02T17:49:00,S000068,,session_start,,push,mobile,
E000370,2026-01-02T17:49:07,S000068,,search,,와이드 팬츠|24,mobile,
E000371,2026-01-02T17:49:35,S000068,,view_category,,outer,mobile,
E000372,2026-01-02T17:50:03,S000068,,view_item,P017,,mobile,
E000373,2026-01-02T17:50:30,S000068,,view_item,P017,,mobile,
E000374,2026-01-02T17:50:40,S000068,,view_item,P001,,mobile,
E000375,2026-01-02T16:27:00,S000069,,session_start,,direct,desktop,
