rank,product_name,price
44,[블랑] 베이지 크롭 하객룩 티셔츠,"195,000원"
45,블랙 베이직 바라클라바 티셔츠 (6COLOR),"33,000원"
46,세미와이드 린넨 팬츠,"19,000원"
47,와이드 레이온 썸머 셔츠,"45,000원"
48,베이지 베이직 스커트 (5COLOR),"86,000원"
49,핑크 루즈핏 레이온 반팔 티셔츠,"140,000원"
50,[노르딕] 카키 롱 린넨 데일리 셔츠,"254,000원"
51,세미와이드 스커트,"257,000원"
52,핑크 와이드 레이온 스커트,"195,000원"
53,롱 레이온 썸머 자켓 (6COLOR),"219,000원"
54,[코튼하우스] 핑크 와이드 여름 가디건 (6COLOR),"258,000원"
55,핑크 와이드 시어서커 원피스,"136,000원"
56,핑크 오버핏 티셔츠,"106,000원"
57,[블랑] 와이드 울 라운드 블라우스 (7COLOR),"180,000원"
58,[포레스트] 와이드 자켓 (5COLOR),"152,000원"
59,카키 베이직 팬츠 (4COLOR),"192,000원"
60,[무드라인] 크롭 울 여름 셔츠,"202,000원"
61,카키 와이드 가디건,"24,000원"
62,블랙 와이드 울 데일리 자켓,"214,000원"
63,[에브리데이] 버터 오버핏 여름 슬랙스,"216,000원"
64,와이드 코튼 가디건,"124,000원"
65,[에브리데이] 핑크 세미와이드 코튼 가디건,"125,000원"
66,버터 와이드 쿨 팬츠 (6COLOR),"216,000원"
67,[세컨드] 화이트 롱 린넨 바라클라바 자켓,"214,000원"
68,[세컨드] 화이트 롱 데님 라운드 자켓,"252,000원"
69,화이트 베이직 코튼 블라우스,"234,000원"
70,베이지 발레코어 울 블라우스 (2COLOR),"183,000원"
71,크롭 데님 하객룩 원피스,"208,000원"
72,[포레스트] 와이드 울 여름 니트,"254,000원"
73,버터 롱 블라우스,"237,000원"
74,[포레스트] 블랙 와이드 린넨 셔츠,"158,000원"
75,[루트] 롱 울 바라클라바 스커트,"115,000원"
76,[세컨드] 베이지 와이드 린넨 바라클라바 셔츠,"148,000원"
77,[코튼하우스] 베이지 루즈핏 데님 여름 니트 (2COLOR),"124,000원"
78,[노르딕] 카키 와이드 쿨 팬츠,"258,000원"
79,[코튼하우스] 루즈핏 바라클라바 자켓 (7COLOR),"152,000원"
80,블랙 베이직 가디건,"146,000원"
81,화이트 루즈핏 팬츠 (3COLOR),"207,000원"
82,[블랑] 버터 베이직 라운드 블라우스 (6COLOR),"49,000원"
83,[노르딕] 카키 와이드 반팔 블라우스,"70,000원"
84,카키 베이직 데님 썸머 블라우스,"75,000원"
85,발레코어 린넨 블라우스,"207,000원"
86,[루트] 발레코어 린넨 쿨 가디건,"112,000원"
87,버터 와이드 블라우스 (2COLOR),"131,000원"
88,발레코어 린넨 블라우스 (5COLOR),"235,000원"
89,[포레스트] 블랙 발레코어 반팔 블라우스,"218,000원"
90,버터 오버핏 린넨 썸머 블라우스 (3COLOR),"170,000원"
91,[무드라인] 블랙 와이드 울 쿨 셔츠,"47,000원"
92,핑크 롱 쿨 블라우스 (2COLOR),"231,000원"
93,[노르딕] 베이지 루즈핏 니트,"89,000원"
94,[루트] 베이지 와이드 바라클라바 가디건,"113,000원"
95,[노르딕] 오버핏 레이온 가디건,"21,000원"
96,화이트 크롭 데님 슬랙스,"92,000원"
97,[루트] 블랙 오버핏 팬츠,"239,000원"
98,크롭 울 자켓,"144,000원"
99,[포레스트] 베이직 쿨 원피스,"40,000원"
100,카키 루즈핏 데님 반팔 니트,"24,000원"
101,[블랑] 롱 슬랙스,"213,000원"
102,[에브리데이] 블랙 크롭 데님 티셔츠,"224,000원"
103,[코튼하우스] 발레코어 쿨 슬랙스,"116,000원"
104,[포레스트] 발레코어 린넨 데일리 블라우스 (5COLOR),"182,000원"
105,카키 발레코어 린넨 바라클라바 가디건 (5COLOR),"152,000원"
106,[코튼하우스] 카키 세미와이드 시어서커 원피스 (6COLOR),"156,000원"
107,[블랑] 화이트 크롭 반팔 니트 (2COLOR),"188,000원"
108,카키 발레코어 세트 셔츠,"86,000원"
109,발레코어 린넨 바라클라바 자켓,"185,000원"
110,버터 크롭 린넨 바라클라바 가디건,"71,000원"
111,베이지 베이직 니트,"89,000원"
112,[코튼하우스] 와이드 울 스커트 (3COLOR),"215,000원"
113,[루트] 와이드 스커트,"203,000원"
114,[에브리데이] 카키 와이드 레이온 썸머 셔츠,"19,000원"
115,핑크 베이직 레이온 블라우스,"21,000원"
116,[루트] 카키 루즈핏 코튼 하객룩 티셔츠,"62,000원"
117,버터 베이직 울 데일리 셔츠 (2COLOR),"23,000원"
118,베이지 발레코어 데님 데일리 가디건,"258,000원"
119,롱 데님 스커트,"150,000원"
120,[에브리데이] 화이트 와이드 데일리 가디건,"48,000원"
121,[노르딕] 와이드 데일리 원피스,"105,000원"
122,세미와이드 코튼 하객룩 티셔츠,"55,000원"
123,카키 크롭 린넨 쿨 자켓,"83,000원"
124,[무드라인] 세미와이드 데님 스커트,"127,000원"
125,발레코어 린넨 데일리 자켓 (2COLOR),"255,000원"
126,크롭 바라클라바 원피스,"59,000원"
127,[루트] 크롭 반팔 블라우스,"209,000원"
128,[블랑] 루즈핏 반팔 팬츠,"200,000원"
129,롱 코튼 바라클라바 가디건,"43,000원"
130,버터 크롭 데일리 슬랙스 (6COLOR),"177,000원"
131,와이드 린넨 가디건 (7COLOR),"136,000원"
132,세미와이드 린넨 여름 자켓,"30,000원"
133,블랙 베이직 레이온 썸머 원피스,"125,000원"
134,[코튼하우스] 베이지 베이직 울 바라클라바 팬츠,"185,000원"
135,[블랑] 화이트 세미와이드 린넨 가디건,"49,000원"
136,루즈핏 데님 가디건 (4COLOR),"41,000원"
137,카키 크롭 린넨 바라클라바 티셔츠 (7COLOR),"204,000원"
138,버터 와이드 레이온 반팔 자켓,"217,000원"
139,크롭 레이온 데일리 블라우스,"166,000원"
140,[루트] 베이직 울 쿨 원피스,"65,000원"
141,[세컨드] 크롭 시어서커 라운드 가디건,"46,000원"
142,카키 롱 울 블라우스 (3COLOR),"126,000원"
143,[세컨드] 카키 크롭 울 바라클라바 자켓,"57,000원"
144,베이지 와이드 바라클라바 슬랙스,"152,000원"
145,카키 발레코어 세트 니트,"163,000원"
146,[에브리데이] 핑크 발레코어 코튼 데일리 셔츠 (3COLOR),"102,000원"
147,오버핏 린넨 세트 원피스,"256,000원"
148,[코튼하우스] 블랙 루즈핏 린넨 가디건 (3COLOR),"137,000원"
149,[노르딕] 세미와이드 린넨 반팔 티셔츠,"157,000원"
150,[에브리데이] 카키 루즈핏 코튼 티셔츠,"147,000원"
151,[루트] 와이드 라운드 자켓 (2COLOR),"20,000원"
152,발레코어 시어서커 원피스,"186,000원"
153,와이드 슬랙스,"188,000원"
154,롱 바라클라바 스커트,"134,000원"
155,[노르딕] 크롭 라운드 팬츠,"116,000원"
156,[루트] 롱 티셔츠,"48,000원"
157,[코튼하우스] 화이트 발레코어 블라우스,"152,000원"
158,버터 와이드 하객룩 원피스,"92,000원"
159,핑크 발레코어 레이온 티셔츠 (2COLOR),"64,000원"
160,발레코어 린넨 블라우스 (7COLOR),"250,000원"
161,와이드 레이온 셔츠,"43,000원"
162,베이직 린넨 가디건 (3COLOR),"66,000원"
163,[세컨드] 카키 크롭 라운드 원피스,"218,000원"
164,블랙 와이드 가디건 (5COLOR),"224,000원"
165,[루트] 발레코어 코튼 여름 가디건,"151,000원"
166,[노르딕] 세미와이드 데일리 니트,"172,000원"
167,[에브리데이] 핑크 와이드 린넨 바라클라바 원피스 (3COLOR),"157,000원"
168,[에브리데이] 카키 세미와이드 레이온 반팔 니트,"117,000원"
169,[에브리데이] 베이직 데님 라운드 팬츠,"202,000원"
170,[세컨드] 롱 여름 스커트,"135,000원"
171,세미와이드 코튼 여름 팬츠,"70,000원"
172,[에브리데이] 와이드 데님 하객룩 팬츠,"211,000원"
173,[노르딕] 세미와이드 시어서커 쿨 슬랙스,"72,000원"
174,핑크 와이드 린넨 스커트,"64,000원"
175,[블랑] 발레코어 린넨 세트 스커트,"240,000원"
176,[무드라인] 오버핏 린넨 썸머 슬랙스,"157,000원"
177,[코튼하우스] 와이드 시어서커 슬랙스,"145,000원"
178,[노르딕] 핑크 와이드 여름 티셔츠,"222,000원"
179,[에브리데이] 카키 와이드 시어서커 반팔 셔츠,"123,000원"
180,버터 베이직 린넨 팬츠,"40,000원"
181,[코튼하우스] 화이트 와이드 반팔 자켓,"235,000원"
182,[블랑] 버터 와이드 세트 셔츠,"242,000원"
183,[무드라인] 블랙 베이직 데일리 슬랙스 (7COLOR),"235,000원"
184,블랙 발레코어 울 스커트,"118,000원"
185,핑크 크롭 블라우스 (7COLOR),"64,000원"
186,[루트] 베이지 와이드 라운드 스커트 (7COLOR),"227,000원"
187,세미와이드 코튼 라운드 슬랙스,"61,000원"
188,[노르딕] 핑크 베이직 코튼 세트 슬랙스,"27,000원"
189,[에브리데이] 오버핏 데님 가디건,"195,000원"
190,화이트 루즈핏 시어서커 바라클라바 티셔츠,"181,000원"
191,[코튼하우스] 와이드 반팔 니트,"72,000원"
192,와이드 쿨 스커트,"255,000원"
193,베이지 세미와이드 시어서커 니트 (3COLOR),"213,000원"
194,[세컨드] 블랙 발레코어 울 쿨 슬랙스,"241,000원"
195,핑크 와이드 셔츠,"255,000원"
196,[노르딕] 블랙 와이드 코튼 반팔 팬츠,"101,000원"
197,블랙 오버핏 하객룩 블라우스,"66,000원"
198,버터 루즈핏 슬랙스,"61,000원"
199,버터 롱 린넨 자켓,"42,000원"
200,핑크 베이직 데일리 가디건,"181,000원"
