customer_id,signup_date,gender,age_band,region,acquisition_channel,app_installed,push_opt_in,marketing_consent
C0138,2025-12-30,M,20s,Busan,paid_search,False,False,True
C0139,2025-10-08,F,30s,Seoul,paid_search,True,True,True
C0140,2025-07-31,F,30s,Other,sns,True,True,True
C0141,2025-08-17,M,30s,Gyeonggi,organic,False,False,True
C0142,2025-10-14,F,40s,Other,paid_search,True,False,False
C0143,2025-08-30,M,20s,Gyeonggi,paid_search,True,True,True
C0144,2025-08-18,F,30s,Seoul,paid_search,False,False,False
C0145,2026-01-25,M,20s,Gyeonggi,organic,False,False,True
C0146,2026-05-22,F,40s,Seoul,organic,True,False,False
C0147,2025-08-03,M,40s,Gyeonggi,sns,False,False,False
C0148,2025-12-31,M,30s,Gyeonggi,organic,True,True,True
C0149,2025-12-16,F,30s,Busan,sns,True,False,True
C0150,2025-09-22,F,20s,Seoul,referral,False,False,True
C0151,2025-11-20,F,20s,Other,organic,True,False,True
C0152,2025-12-01,M,50s,Seoul,organic,True,True,True
C0153,2025-07-05,M,30s,Seoul,paid_search,True,True,True
C0154,2025-08-30,F,20s,Seoul,organic,True,True,True
C0155,2025-09-24,F,30s,Other,sns,True,True,True
C0156,2026-01-01,F,40s,Seoul,paid_search,False,False,False
C0157,2026-03-17,M,40s,Seoul,organic,False,False,True
C0158,2025-12-08,F,30s,Gyeonggi,organic,True,True,True
C0159,2025-08-15,F,40s,Other,paid_search,False,False,True
C0160,2025-11-14,M,40s,Seoul,organic,True,True,False
C0161,2025-08-27,F,30s,Other,referral,True,False,True
C0162,2025-12-26,M,20s,Busan,sns,False,False,False
C0163,2025-09-16,F,30s,Seoul,paid_search,True,True,True
C0164,2025-10-02,F,20s,Seoul,organic,True,False,False
C0165,2025-11-23,F,40s,Daegu,sns,True,True,True
C0166,2025-11-29,F,40s,Gyeonggi,paid_search,False,False,True
C0167,2025-10-29,M,20s,Gyeonggi,sns,True,True,True
C0168,2025-12-12,F,30s,Gyeonggi,organic,False,False,True
C0169,2025-08-21,M,30s,Daegu,organic,False,False,True
C0170,2026-05-25,M,30s,Busan,paid_search,True,True,False
C0171,2025-08-10,F,50s,Gyeonggi,organic,True,True,False
C0172,2025-12-28,F,30s,Seoul,referral,False,False,True
C0173,2026-02-24,F,30s,Gyeonggi,paid_search,False,False,True
C0174,2026-05-17,F,30s,Other,paid_search,True,True,False
C0175,2026-01-20,F,20s,Daegu,sns,False,False,True
C0176,2025-12-07,M,20s,Gyeonggi,paid_search,True,True,True
C0177,2025-07-07,F,20s,Gyeonggi,organic,False,False,True
C0178,2025-08-30,F,30s,Gyeonggi,paid_search,False,False,True
C0179,2025-12-01,F,30s,Seoul,organic,True,False,True
C0180,2026-02-02,M,20s,Seoul,organic,True,True,True
C0181,2025-08-03,F,20s,Seoul,sns,True,True,True
C0182,2025-08-14,M,20s,Other,sns,True,False,True
C0183,2025-08-22,M,30s,Busan,organic,False,False,True
C0184,2025-10-16,F,20s,Gyeonggi,organic,True,True,True
C0185,2026-05-24,F,40s,Seoul,sns,False,False,True
C0186,2025-07-20,F,20s,Seoul,sns,True,True,True
C0187,2026-04-29,F,30s,Seoul,paid_search,False,False,True
C0188,2025-08-03,M,40s,Busan,paid_search,False,False,False
C0189,2025-12-27,F,40s,Gyeonggi,sns,False,False,True
C0190,2025-09-18,F,30s,Seoul,sns,True,False,True
C0191,2025-10-13,F,50s,Daegu,organic,False,False,True
C0192,2025-11-23,F,30s,Gyeonggi,referral,True,True,False
C0193,2026-05-30,F,30s,Seoul,sns,True,False,True
C0194,2025-11-01,F,30s,Busan,referral,True,True,False
C0195,2026-02-08,F,40s,Seoul,paid_search,False,False,True
C0196,2025-10-06,F,40s,Seoul,organic,True,False,True
C0197,2025-12-30,M,20s,Other,sns,False,False,True
C0198,2025-09-12,M,50s,Busan,paid_search,False,False,True
C0199,2025-11-05,M,30s,Seoul,paid_search,True,True,False
C0200,2025-10-02,F,20s,Gyeonggi,paid_search,True,False,True
C0201,2025-07-07,M,40s,Seoul,sns,False,False,True
C0202,2026-05-21,F,30s,Gyeonggi,sns,False,False,True
C0203,2026-01-12,F,20s,Seoul,sns,False,False,True
C0204,2026-05-27,F,20s,Seoul,sns,False,False,True
C0205,2025-12-20,F,20s,Gyeonggi,sns,True,False,True
C0206,2025-08-08,M,30s,Seoul,organic,False,False,True
C0207,2025-08-15,F,30s,Seoul,referral,False,False,True
C0208,2025-11-30,F,20s,Seoul,paid_search,False,False,True
C0209,2025-12-25,F,40s,Seoul,sns,True,True,True
C0210,2026-03-07,F,20s,Other,referral,False,False,True
C0211,2025-10-26,F,50s,Busan,organic,False,False,False
C0212,2026-04-27,F,40s,Seoul,organic,True,False,True
C0213,2026-01-28,F,30s,Seoul,organic,False,False,True
C0214,2026-01-15,F,20s,Other,paid_search,True,True,True
C0215,2026-04-23,F,40s,Gyeonggi,paid_search,True,True,True
C0216,2025-10-16,M,40s,Seoul,paid_search,False,False,True
C0217,2025-10-17,F,30s,Busan,organic,True,True,True
C0218,2026-04-04,F,20s,Daegu,paid_search,False,False,True
C0219,2026-01-18,F,40s,Seoul,organic,False,False,True
C0220,2026-01-21,F,50s,Other,organic,True,False,True
C0221,2026-05-04,F,30s,Gyeonggi,paid_search,True,True,True
C0222,2026-01-15,F,30s,Other,organic,True,True,False
C0223,2025-09-02,F,40s,Daegu,sns,True,False,False
C0224,2026-05-30,M,40s,Other,organic,False,False,True
C0225,2026-01-16,F,20s,Other,referral,False,False,True
C0226,2025-10-09,F,30s,Daegu,paid_search,False,False,True
C0227,2025-11-30,M,20s,Seoul,organic,True,False,True
C0228,2026-03-24,M,50s,Gyeonggi,paid_search,False,False,False
C0229,2025-09-29,F,20s,Gyeonggi,organic,True,True,True
C0230,2025-12-24,M,40s,Seoul,paid_search,False,False,True
C0231,2025-08-25,F,50s,Gyeonggi,organic,True,True,True
C0232,2026-04-13,F,20s,Other,referral,True,True,True
C0233,2026-03-21,F,20s,Seoul,paid_search,True,True,True
C0234,2025-11-14,M,30s,Gyeonggi,sns,False,False,True
C0235,2026-05-06,F,20s,Gyeonggi,organic,True,True,True
C0236,2026-01-19,F,40s,Busan,paid_search,True,False,True
C0237,2025-07-27,M,40s,Seoul,sns,True,True,True
C0238,2025-08-01,F,20s,Seoul,referral,False,False,True
C0239,2026-02-08,F,20s,Seoul,organic,False,False,True
C0240,2025-09-17,F,30s,Daegu,sns,True,True,True
C0241,2026-03-27,F,50s,Daegu,paid_search,False,False,False
C0242,2025-10-23,M,40s,Gyeonggi,paid_search,False,False,True
C0243,2025-11-07,F,30s,Busan,paid_search,False,False,True
C0244,2026-05-05,F,20s,Seoul,organic,True,False,True
C0245,2026-03-04,M,20s,Seoul,sns,False,False,True
C0246,2025-12-03,F,30s,Busan,sns,False,False,True
C0247,2026-05-21,F,20s,Seoul,paid_search,True,True,True
C0248,2025-10-11,F,30s,Gyeonggi,paid_search,True,True,True
C0249,2025-10-01,M,20s,Busan,sns,True,True,True
C0250,2025-11-02,F,20s,Seoul,sns,True,False,True
C0251,2026-03-23,F,20s,Gyeonggi,paid_search,True,True,True
C0252,2026-05-25,F,20s,Gyeonggi,sns,False,False,True
C0253,2026-05-23,F,30s,Seoul,organic,True,True,True
C0254,2026-05-28,M,30s,Seoul,sns,True,True,True
C0255,2025-12-10,F,30s,Seoul,paid_search,True,True,True
C0256,2025-09-12,F,20s,Seoul,sns,True,True,True
C0257,2025-07-29,F,40s,Other,sns,True,True,True
C0258,2026-03-19,F,30s,Other,paid_search,False,False,True
C0259,2025-12-08,F,30s,Seoul,sns,False,False,True
C0260,2025-07-20,M,20s,Other,sns,False,False,False
C0261,2026-01-22,F,40s,Daegu,organic,False,False,True
C0262,2026-04-02,F,20s,Seoul,organic,True,True,True
C0263,2025-07-02,M,30s,Gyeonggi,organic,False,False,True
C0264,2025-08-10,F,30s,Gyeonggi,organic,False,False,True
C0265,2026-05-07,M,20s,Gyeonggi,sns,False,False,True
C0266,2025-09-11,M,40s,Seoul,sns,False,False,True
C0267,2026-01-27,M,40s,Busan,sns,False,False,False
C0268,2026-04-26,F,30s,Seoul,paid_search,True,True,False
C0269,2025-11-25,F,50s,Seoul,organic,True,False,True
C0270,2026-04-21,M,20s,Gyeonggi,paid_search,False,False,True
C0271,2025-11-11,M,40s,Seoul,organic,True,True,False
C0272,2025-07-16,F,30s,Seoul,sns,False,False,True
C0273,2026-05-02,F,30s,Busan,organic,True,False,True
C0274,2026-05-23,M,20s,Daegu,organic,True,False,True
C0275,2026-03-16,F,20s,Other,paid_search,True,False,True
C0276,2026-04-05,F,20s,Other,sns,True,True,False
C0277,2025-07-02,F,30s,Other,paid_search,True,False,True
C0278,2026-01-19,F,30s,Gyeonggi,sns,False,False,True
C0279,2025-12-05,F,40s,Other,organic,True,False,True
C0280,2025-08-01,F,20s,Seoul,referral,False,False,True
C0281,2025-09-26,F,20s,Seoul,paid_search,True,True,True
C0282,2025-09-15,F,30s,Daegu,paid_search,False,False,True
C0283,2025-10-07,F,40s,Seoul,sns,True,True,True
C0284,2026-03-11,M,40s,Gyeonggi,organic,True,True,True
C0285,2026-01-31,F,30s,Gyeonggi,organic,True,True,True
C0286,2025-11-21,F,20s,Gyeonggi,organic,False,False,True
C0287,2026-04-24,F,30s,Other,sns,True,True,True
C0288,2025-08-26,F,20s,Gyeonggi,organic,True,True,True
C0289,2025-10-04,F,30s,Seoul,sns,False,False,True
C0290,2026-01-28,F,40s,Seoul,paid_search,False,False,True
C0291,2025-11-09,F,20s,Daegu,organic,True,True,True
C0292,2026-03-09,F,40s,Seoul,sns,False,False,True
C0293,2026-05-22,F,40s,Daegu,organic,False,False,True
C0294,2025-07-06,F,30s,Gyeonggi,organic,True,False,True
C0295,2026-04-01,F,30s,Busan,organic,True,True,True
C0296,2026-05-25,F,30s,Other,paid_search,True,True,True
C0297,2025-10-05,F,20s,Busan,organic,True,True,True
C0298,2026-03-08,M,50s,Seoul,referral,False,False,True
C0299,2026-03-26,F,20s,Other,organic,True,True,True
C0300,2025-11-02,F,50s,Seoul,referral,False,False,True
C0301,2026-02-04,F,40s,Gyeonggi,paid_search,True,True,True
C0302,2026-01-09,F,30s,Seoul,organic,True,True,True
C0303,2026-04-01,F,30s,Gyeonggi,referral,False,False,False
C0304,2026-05-19,F,20s,Gyeonggi,organic,False,False,True
C0305,2025-08-04,M,30s,Other,referral,False,False,True
C0306,2026-02-09,F,40s,Seoul,referral,True,False,True
C0307,2025-11-20,F,30s,Seoul,paid_search,True,False,True
C0308,2026-04-11,F,40s,Busan,organic,False,False,True
C0309,2025-09-10,F,20s,Gyeonggi,paid_search,True,True,True
C0310,2025-07-09,F,50s,Other,sns,True,True,True
C0311,2026-03-05,F,20s,Gyeonggi,sns,False,False,True
C0312,2026-02-27,M,30s,Seoul,sns,False,False,True
C0313,2026-04-14,M,30s,Daegu,organic,False,False,False
C0314,2026-03-08,M,30s,Gyeonggi,sns,True,True,True
C0315,2026-04-01,F,30s,Daegu,organic,True,True,True
C0316,2025-12-15,M,40s,Gyeonggi,referral,False,False,False
C0317,2026-02-15,F,40s,Gyeonggi,paid_search,False,False,True
C0318,2026-05-18,F,20s,Gyeonggi,paid_search,True,True,True
C0319,2026-04-27,F,20s,Gyeonggi,paid_search,False,False,True
C0320,2025-07-08,F,40s,Busan,paid_search,True,False,True
C0321,2026-04-02,F,20s,Busan,sns,True,True,True
C0322,2025-09-25,F,50s,Gyeonggi,referral,True,False,False
C0323,2025-10-09,F,20s,Gyeonggi,organic,False,False,True
C0324,2025-07-25,F,40s,Gyeonggi,organic,False,False,True
C0325,2026-02-05,F,50s,Seoul,organic,False,False,True
C0326,2026-01-23,F,30s,Other,paid_search,True,True,True
C0327,2025-10-02,F,20s,Seoul,paid_search,False,False,False
C0328,2026-03-17,M,50s,Seoul,sns,False,False,True
C0329,2025-08-11,F,30s,Seoul,paid_search,True,True,True
C0330,2026-02-15,F,40s,Other,organic,False,False,True
C0331,2025-08-08,F,20s,Seoul,paid_search,True,True,True
C0332,2025-07-13,M,30s,Other,sns,False,False,True
C0333,2026-03-24,F,50s,Busan,organic,True,False,False
C0334,2026-03-24,F,20s,Daegu,organic,False,False,True
C0335,2026-05-22,F,20s,Seoul,referral,False,False,True
C0336,2025-08-30,F,30s,Other,paid_search,False,False,True
C0337,2025-10-24,M,40s,Seoul,organic,True,True,True
C0338,2026-05-15,F,20s,Gyeonggi,sns,False,False,True
C0339,2026-05-23,F,20s,Gyeonggi,organic,True,True,True
C0340,2025-10-01,M,20s,Other,organic,False,False,True
C0341,2026-01-22,M,20s,Daegu,sns,True,False,True
C0342,2025-12-30,F,50s,Seoul,organic,True,False,True
C0343,2025-07-13,F,30s,Gyeonggi,organic,False,False,True
C0344,2025-08-20,F,30s,Seoul,organic,True,True,True
C0345,2026-01-12,F,40s,Other,organic,True,True,True
C0346,2026-04-03,F,30s,Gyeonggi,organic,True,True,True
C0347,2025-08-22,M,40s,Gyeonggi,organic,True,True,True
C0348,2025-08-20,F,20s,Gyeonggi,organic,False,False,True
C0349,2025-09-26,M,30s,Gyeonggi,sns,True,True,False
C0350,2025-07-22,F,20s,Gyeonggi,organic,True,False,False
C0351,2025-10-22,F,30s,Other,organic,True,True,True
C0352,2026-03-27,F,40s,Busan,paid_search,True,True,False
C0353,2025-10-04,F,20s,Seoul,paid_search,True,False,True
C0354,2026-03-01,F,30s,Gyeonggi,referral,False,False,True
C0355,2025-07-05,F,30s,Seoul,organic,False,False,True
C0356,2025-08-22,F,30s,Seoul,paid_search,True,True,True
C0357,2025-09-08,F,40s,Seoul,referral,True,False,True
C0358,2025-09-22,F,30s,Gyeonggi,referral,True,True,True
C0359,2026-03-31,M,30s,Seoul,organic,False,False,True
C0360,2026-05-27,F,30s,Seoul,sns,False,False,True
C0361,2025-08-01,F,20s,Seoul,organic,True,True,True
C0362,2025-12-06,F,30s,Daegu,organic,False,False,True
C0363,2025-12-16,M,20s,Busan,organic,False,False,True
C0364,2026-04-07,M,50s,Gyeonggi,sns,False,False,False
C0365,2025-10-03,M,20s,Seoul,organic,False,False,False
C0366,2026-05-08,F,30s,Seoul,organic,False,False,False
C0367,2025-12-13,F,20s,Seoul,organic,True,False,False
C0368,2025-11-29,F,20s,Busan,paid_search,False,False,True
C0369,2025-08-02,F,20s,Gyeonggi,organic,False,False,True
C0370,2026-04-27,F,40s,Gyeonggi,organic,True,True,True
C0371,2025-10-27,M,20s,Gyeonggi,paid_search,True,True,True
C0372,2025-11-04,F,40s,Seoul,organic,False,False,True
C0373,2025-11-12,F,40s,Busan,paid_search,True,True,False
C0374,2025-12-09,M,20s,Busan,sns,False,False,True
C0375,2025-07-28,M,30s,Seoul,paid_search,False,False,True
C0376,2025-08-26,M,20s,Gyeonggi,paid_search,True,True,True
C0377,2026-01-15,F,20s,Gyeonggi,paid_search,False,False,False
C0378,2025-09-12,F,30s,Gyeonggi,sns,True,True,True
C0379,2025-07-26,F,30s,Busan,sns,True,True,True
C0380,2026-05-12,F,20s,Seoul,organic,False,False,True
C0381,2025-12-19,F,40s,Gyeonggi,paid_search,True,True,True
C0382,2026-02-04,F,50s,Seoul,organic,False,False,True
C0383,2025-10-17,F,30s,Other,sns,True,True,True
C0384,2025-11-17,F,20s,Busan,organic,False,False,True
C0385,2025-12-21,F,20s,Seoul,paid_search,False,False,True
C0386,2026-05-15,F,20s,Gyeonggi,paid_search,True,True,True
C0387,2025-10-07,F,40s,Seoul,organic,False,False,True
C0388,2025-07-05,F,20s,Seoul,organic,False,False,True
C0389,2025-12-21,M,20s,Other,organic,True,False,True
C0390,2025-09-15,F,30s,Other,sns,True,False,True
C0391,2025-10-09,F,20s,Gyeonggi,organic,False,False,True
C0392,2026-05-01,F,30s,Seoul,organic,True,False,True
C0393,2026-02-19,F,40s,Gyeonggi,paid_search,True,True,True
C0394,2026-03-30,F,40s,Seoul,organic,True,True,True
C0395,2025-12-26,F,40s,Seoul,organic,True,False,True
C0396,2025-12-27,M,30s,Seoul,referral,True,True,True
C0397,2025-08-11,F,50s,Gyeonggi,organic,True,True,True
C0398,2026-02-11,M,40s,Daegu,sns,True,True,True
C0399,2025-11-03,F,40s,Gyeonggi,paid_search,False,False,True
C0400,2026-03-13,M,30s,Seoul,organic,True,True,True
C0401,2026-05-05,F,20s,Gyeonggi,referral,False,False,True
C0402,2025-12-08,F,50s,Gyeonggi,referral,True,True,True
C0403,2026-01-14,F,50s,Daegu,sns,True,True,True
C0404,2026-02-06,M,20s,Seoul,organic,True,True,True
C0405,2025-09-23,F,30s,Other,organic,False,False,True
C0406,2025-09-17,F,30s,Gyeonggi,sns,True,True,True
C0407,2026-02-28,F,20s,Seoul,organic,False,False,True
C0408,2026-03-23,F,20s,Seoul,referral,False,False,True
C0409,2026-05-21,F,40s,Gyeonggi,organic,True,True,False
C0410,2025-08-15,M,30s,Seoul,paid_search,False,False,True
C0411,2025-07-30,F,30s,Seoul,sns,True,True,True
C0412,2026-01-21,F,20s,Seoul,sns,False,False,True
C0413,2026-04-16,F,20s,Seoul,organic,True,True,False
C0414,2025-09-25,F,20s,Gyeonggi,sns,True,True,True
C0415,2026-01-22,F,20s,Other,sns,False,False,True
C0416,2025-12-29,F,40s,Other,organic,False,False,True
C0417,2025-09-14,M,30s,Other,paid_search,True,True,True
C0418,2026-02-08,F,40s,Busan,paid_search,True,False,True
C0419,2025-11-18,F,40s,Daegu,paid_search,False,False,True
C0420,2025-10-27,F,40s,Seoul,paid_search,False,False,True
C0421,2026-04-26,F,20s,Gyeonggi,sns,False,False,False
C0422,2026-01-16,F,30s,Seoul,sns,True,True,True
C0423,2026-01-30,M,40s,Other,organic,False,False,True
C0424,2026-05-16,F,30s,Gyeonggi,referral,True,False,True
C0425,2026-05-07,F,30s,Seoul,organic,False,False,True
C0426,2026-01-14,F,30s,Other,sns,False,False,True
C0427,2025-08-04,F,40s,Other,paid_search,True,False,True
C0428,2026-01-23,F,30s,Seoul,organic,True,True,True
C0429,2025-07-05,F,40s,Busan,sns,True,True,False
C0430,2025-07-27,F,30s,Seoul,referral,True,True,True
C0431,2025-11-12,F,30s,Seoul,organic,False,False,True
C0432,2026-02-19,F,20s,Gyeonggi,paid_search,False,False,True
C0433,2025-09-05,F,50s,Seoul,sns,False,False,False
C0434,2025-12-11,F,20s,Other,sns,True,True,True
C0435,2025-08-21,M,30s,Gyeonggi,organic,False,False,True
C0436,2026-03-31,F,40s,Busan,organic,True,True,True
C0437,2025-07-13,F,20s,Gyeonggi,paid_search,True,False,False
C0438,2026-05-22,F,40s,Seoul,sns,False,False,True
C0439,2026-03-22,M,40s,Seoul,referral,True,True,False
C0440,2025-10-22,F,30s,Seoul,sns,False,False,True
C0441,2025-10-13,M,30s,Seoul,organic,False,False,True
C0442,2025-07-17,F,20s,Other,sns,False,False,True
C0443,2025-08-21,F,20s,Seoul,sns,True,True,True
C0444,2025-07-15,M,20s,Seoul,organic,False,False,True
C0445,2025-07-25,F,20s,Seoul,organic,False,False,True
C0446,2026-03-10,F,30s,Other,organic,True,True,False
C0447,2025-07-07,F,20s,Gyeonggi,paid_search,True,True,True
C0448,2025-12-21,F,40s,Other,sns,True,True,True
C0449,2025-07-15,F,20s,Seoul,organic,True,True,False
