session_id,page,element,x,y,device
S000023,product_detail,add_to_cart,912,941,mobile
S000025,product_detail,add_to_cart,1163,911,app
S000026,product_detail,add_to_cart,936,879,app
S000026,product_detail,main_image,596,549,app
S000026,product_detail,thumbnails,74,800,app
S000026,product_detail,add_to_cart,1076,887,app
S000027,product_detail,detail_text,432,1407,desktop
S000027,product_detail,wishlist,1141,929,desktop
S000027,product_detail,reviews_tab,620,1237,desktop
S000027,product_detail,wishlist,1171,926,desktop
S000029,product_detail,main_image,383,572,mobile
S000030,product_detail,detail_text,379,1951,mobile
S000030,product_detail,detail_text,799,2275,mobile
S000030,product_detail,main_image,415,190,mobile
S000030,product_detail,reviews_tab,791,1238,mobile
S000032,product_detail,size_chart,846,701,mobile
S000032,product_detail,main_image,393,750,mobile
S000033,product_detail,add_to_cart,938,917,app
S000033,product_detail,detail_text,791,2453,app
S000033,product_detail,detail_text,312,1463,app
S000034,product_detail,add_to_cart,936,933,desktop
S000035,product_detail,thumbnails,168,719,desktop
S000035,product_detail,add_to_cart,977,912,desktop
S000035,product_detail,size_chart,982,730,desktop
S000036,product_detail,reviews_tab,684,1248,desktop
S000036,product_detail,wishlist,1135,919,desktop
S000036,product_detail,size_chart,854,741,desktop
S000037,product_detail,coupon_banner,849,208,mobile
S000037,product_detail,size_chart,805,699,mobile
S000037,product_detail,reviews_tab,572,1287,mobile
S000037,product_detail,size_chart,821,671,mobile
S000038,product_detail,main_image,225,589,app
S000041,product_detail,main_image,626,328,desktop
S000041,product_detail,reviews_tab,761,1241,desktop
S000042,product_detail,main_image,484,550,desktop
S000043,product_detail,main_image,481,512,app
S000043,product_detail,coupon_banner,829,217,app
S000044,product_detail,reviews_tab,567,1256,mobile
S000044,product_detail,wishlist,1118,956,mobile
S000044,product_detail,reviews_tab,445,1249,mobile
S000045,product_detail,main_image,514,474,mobile
S000045,product_detail,reviews_tab,728,1268,mobile
S000045,product_detail,main_image,299,472,mobile
S000046,product_detail,add_to_cart,1114,935,desktop
S000046,product_detail,main_image,241,429,desktop
S000047,product_detail,main_image,164,546,mobile
S000048,product_detail,size_chart,992,694,mobile
S000050,product_detail,main_image,424,636,mobile
S000056,product_detail,reviews_tab,656,1256,mobile
S000056,product_detail,reviews_tab,219,1244,mobile
S000057,product_detail,size_chart,890,692,mobile
S000058,product_detail,size_chart,882,693,mobile
S000058,product_detail,size_chart,900,716,mobile
S000059,product_detail,main_image,272,446,mobile
S000060,product_detail,main_image,273,493,mobile
S000060,product_detail,thumbnails,215,856,mobile
S000061,product_detail,add_to_cart,1107,940,desktop
S000062,product_detail,main_image,490,416,mobile
S000064,product_detail,size_chart,909,681,desktop
S000065,product_detail,thumbnails,252,724,desktop
S000065,product_detail,size_chart,860,692,desktop
S000065,product_detail,thumbnails,118,831,desktop
S000065,product_detail,add_to_cart,1070,924,desktop
S000065,product_detail,reviews_tab,603,1249,desktop
S000065,product_detail,main_image,442,748,desktop
S000065,product_detail,coupon_banner,626,212,desktop
S000066,product_detail,add_to_cart,1102,942,app
S000066,product_detail,thumbnails,115,731,app
S000066,product_detail,reviews_tab,563,1221,app
S000066,product_detail,thumbnails,104,660,app
S000066,product_detail,main_image,523,477,app
S000066,product_detail,add_to_cart,935,912,app
S000066,product_detail,detail_text,1112,1656,app
S000066,product_detail,main_image,481,632,app
S000066,product_detail,reviews_tab,714,1281,app
S000067,product_detail,reviews_tab,467,1268,app
S000067,product_detail,reviews_tab,605,1243,app
S000067,product_detail,add_to_cart,911,928,app
S000067,product_detail,main_image,344,608,app
S000067,product_detail,main_image,356,470,app
S000067,product_detail,add_to_cart,963,940,app
S000068,product_detail,add_to_cart,914,969,mobile
S000068,product_detail,detail_text,415,2509,mobile
S000068,product_detail,size_chart,1000,699,mobile
S000069,product_detail,size_chart,950,722,desktop
S000069,product_detail,wishlist,1165,939,desktop
S000072,product_detail,reviews_tab,438,1223,desktop
S000072,product_detail,main_image,300,349,desktop
S000072,product_detail,add_to_cart,1094,931,desktop
S000072,product_detail,size_chart,1004,731,desktop
S000074,product_detail,main_image,478,347,app
S000074,product_detail,wishlist,1164,934,app
S000074,product_detail,reviews_tab,696,1238,app
S000075,product_detail,detail_text,398,2082,mobile
S000075,product_detail,reviews_tab,597,1230,mobile
S000076,product_detail,reviews_tab,558,1250,desktop
S000076,product_detail,detail_text,717,1785,desktop
S000076,product_detail,coupon_banner,1279,236,desktop
S000077,product_detail,main_image,236,605,mobile
S000077,product_detail,reviews_tab,573,1251,mobile
S000077,product_detail,main_image,249,797,mobile
S000077,product_detail,add_to_cart,913,916,mobile
S000077,product_detail,add_to_cart,1089,910,mobile
S000082,product_detail,main_image,466,752,app
S000082,product_detail,size_chart,837,721,app
S000082,product_detail,detail_text,917,1466,app
S000082,product_detail,wishlist,1148,920,app
S000084,product_detail,size_chart,922,706,mobile
S000084,product_detail,detail_text,1233,1895,mobile
S000084,product_detail,detail_text,630,2302,mobile
S000084,product_detail,thumbnails,142,634,mobile
S000084,product_detail,main_image,485,838,mobile
S000085,product_detail,wishlist,1103,918,mobile
S000086,product_detail,add_to_cart,886,947,app
S000086,product_detail,main_image,545,424,app
S000086,product_detail,main_image,528,568,app
S000086,product_detail,detail_text,1183,2591,app
S000086,product_detail,main_image,221,283,app
S000086,product_detail,reviews_tab,840,1235,app
S000086,product_detail,size_chart,828,693,app
S000088,product_detail,detail_text,940,1359,mobile
S000089,product_detail,add_to_cart,974,906,mobile
S000089,product_detail,wishlist,1168,880,mobile
S000089,product_detail,main_image,363,415,mobile
S000091,product_detail,main_image,412,346,mobile
S000094,product_detail,main_image,343,512,mobile
S000094,product_detail,main_image,454,599,mobile
S000094,product_detail,size_chart,937,669,mobile
S000094,product_detail,main_image,231,594,mobile
S000094,product_detail,detail_text,552,1373,mobile
S000095,product_detail,add_to_cart,967,939,mobile
S000095,product_detail,main_image,338,659,mobile
S000095,product_detail,size_chart,892,707,mobile
S000096,product_detail,add_to_cart,908,890,app
S000096,product_detail,main_image,209,473,app
S000097,product_detail,main_image,409,609,app
S000097,product_detail,reviews_tab,667,1264,app
S000097,product_detail,add_to_cart,1064,886,app
S000097,product_detail,add_to_cart,1061,940,app
S000098,product_detail,detail_text,63,2246,mobile
S000098,product_detail,reviews_tab,691,1227,mobile
S000098,product_detail,thumbnails,140,750,mobile
S000098,product_detail,wishlist,1162,924,mobile
S000098,product_detail,reviews_tab,391,1204,mobile
S000098,product_detail,detail_text,703,1884,mobile
S000098,product_detail,main_image,415,567,mobile
S000098,product_detail,size_chart,820,699,mobile
S000098,product_detail,main_image,515,705,mobile
S000098,product_detail,coupon_banner,500,189,mobile
S000099,product_detail,main_image,344,594,mobile
S000099,product_detail,detail_text,766,1857,mobile
S000101,product_detail,main_image,484,702,desktop
S000101,product_detail,size_chart,908,677,desktop
S000102,product_detail,size_chart,1030,740,desktop
S000104,product_detail,size_chart,727,694,mobile
S000104,product_detail,add_to_cart,1115,941,mobile
S000104,product_detail,add_to_cart,1082,936,mobile
S000105,product_detail,main_image,515,564,app
S000105,product_detail,size_chart,795,690,app
S000105,product_detail,size_chart,975,711,app
S000106,product_detail,size_chart,882,721,mobile
S000106,product_detail,add_to_cart,973,908,mobile
S000106,product_detail,wishlist,1168,916,mobile
S000106,product_detail,add_to_cart,1184,910,mobile
S000106,product_detail,main_image,487,500,mobile
S000107,product_detail,size_chart,846,692,mobile
S000107,product_detail,detail_text,817,1996,mobile
S000108,product_detail,main_image,230,765,desktop
S000109,product_detail,reviews_tab,712,1246,mobile
S000110,product_detail,main_image,582,593,mobile
S000110,product_detail,thumbnails,143,634,mobile
S000110,product_detail,add_to_cart,906,919,mobile
S000110,product_detail,reviews_tab,420,1257,mobile
S000112,product_detail,size_chart,867,699,mobile
S000112,product_detail,add_to_cart,1168,963,mobile
S000113,product_detail,detail_text,798,2089,mobile
S000113,product_detail,main_image,578,473,mobile
S000113,product_detail,detail_text,564,1504,mobile
S000113,product_detail,main_image,610,411,mobile
S000113,product_detail,size_chart,874,676,mobile
S000114,product_detail,size_chart,719,704,mobile
S000114,product_detail,size_chart,789,724,mobile
S000114,product_detail,reviews_tab,474,1211,mobile
S000114,product_detail,wishlist,1165,939,mobile
S000116,product_detail,main_image,639,364,desktop
S000117,product_detail,reviews_tab,791,1228,mobile
S000118,product_detail,size_chart,873,741,desktop
S000118,product_detail,size_chart,956,675,desktop
S000118,product_detail,reviews_tab,780,1285,desktop
S000119,product_detail,main_image,309,802,mobile
S000120,product_detail,reviews_tab,894,1269,mobile
S000121,product_detail,main_image,361,284,mobile
S000121,product_detail,add_to_cart,1025,914,mobile
S000121,product_detail,add_to_cart,876,904,mobile
S000121,product_detail,reviews_tab,762,1246,mobile
S000122,product_detail,main_image,254,269,mobile
S000123,product_detail,add_to_cart,930,928,app
S000124,product_detail,add_to_cart,868,916,mobile
S000125,product_detail,main_image,474,811,mobile
S000125,product_detail,main_image,475,777,mobile
S000126,product_detail,add_to_cart,944,878,mobile
S000126,product_detail,add_to_cart,932,921,mobile
S000129,product_detail,reviews_tab,586,1267,desktop
S000129,product_detail,main_image,329,510,desktop
S000130,product_detail,reviews_tab,827,1272,mobile
S000130,product_detail,add_to_cart,1141,916,mobile
S000131,product_detail,detail_text,915,1510,mobile
S000131,product_detail,coupon_banner,817,197,mobile
S000131,product_detail,add_to_cart,1087,916,mobile
S000132,product_detail,size_chart,819,682,mobile
S000132,product_detail,reviews_tab,857,1244,mobile
S000132,product_detail,reviews_tab,536,1211,mobile
S000132,product_detail,wishlist,1140,924,mobile
S000132,product_detail,main_image,445,422,mobile
S000133,product_detail,add_to_cart,1061,927,desktop
S000133,product_detail,reviews_tab,641,1268,desktop
S000133,product_detail,main_image,376,392,desktop
S000133,product_detail,add_to_cart,877,902,desktop
S000133,product_detail,add_to_cart,1221,923,desktop
S000133,product_detail,size_chart,900,683,desktop
S000133,product_detail,reviews_tab,999,1216,desktop
S000133,product_detail,main_image,556,571,desktop
S000133,product_detail,main_image,569,673,desktop
S000133,product_detail,main_image,464,548,desktop
S000133,product_detail,size_chart,976,667,desktop
S000135,product_detail,reviews_tab,630,1219,mobile
S000135,product_detail,reviews_tab,718,1253,mobile
S000135,product_detail,main_image,328,657,mobile
S000135,product_detail,wishlist,1151,913,mobile
S000135,product_detail,thumbnails,108,767,mobile
S000136,product_detail,add_to_cart,892,918,mobile
S000140,product_detail,detail_text,690,1719,app
S000140,product_detail,main_image,309,536,app
S000140,product_detail,size_chart,1058,669,app
S000143,product_detail,detail_text,692,1919,mobile
S000143,product_detail,coupon_banner,769,181,mobile
S000143,product_detail,size_chart,1006,700,mobile
S000143,product_detail,main_image,226,465,mobile
S000143,product_detail,add_to_cart,786,903,mobile
S000144,product_detail,reviews_tab,631,1256,desktop
S000144,product_detail,main_image,257,537,desktop
S000144,product_detail,main_image,444,732,desktop
S000144,product_detail,main_image,399,425,desktop
S000144,product_detail,wishlist,1160,924,desktop
S000144,product_detail,reviews_tab,459,1219,desktop
S000145,product_detail,main_image,440,722,mobile
S000145,product_detail,main_image,521,546,mobile
S000145,product_detail,reviews_tab,722,1215,mobile
S000145,product_detail,detail_text,449,2091,mobile
S000146,product_detail,add_to_cart,1210,938,app
S000148,product_detail,main_image,394,655,mobile
S000148,product_detail,main_image,319,653,mobile
S000150,product_detail,main_image,477,584,app
S000151,product_detail,main_image,451,773,mobile
S000152,product_detail,coupon_banner,767,222,desktop
S000152,product_detail,main_image,509,507,desktop
S000153,product_detail,add_to_cart,856,940,desktop
S000153,product_detail,reviews_tab,574,1258,desktop
S000154,product_detail,main_image,350,382,app
S000154,product_detail,reviews_tab,642,1244,app
S000155,product_detail,detail_text,844,2288,desktop
S000155,product_detail,detail_text,853,1633,desktop
S000158,product_detail,main_image,559,543,desktop
S000158,product_detail,size_chart,806,703,desktop
S000158,product_detail,main_image,577,396,desktop
S000158,product_detail,main_image,392,420,desktop
S000159,product_detail,main_image,406,349,mobile
S000159,product_detail,detail_text,956,2288,mobile
S000159,product_detail,size_chart,927,723,mobile
S000160,product_detail,main_image,343,495,mobile
S000160,product_detail,size_chart,1049,670,mobile
S000162,product_detail,detail_text,1067,2021,mobile
S000162,product_detail,main_image,487,353,mobile
S000162,product_detail,main_image,373,558,mobile
S000162,product_detail,reviews_tab,676,1249,mobile
S000162,product_detail,main_image,462,479,mobile
S000163,product_detail,main_image,445,581,mobile
S000163,product_detail,add_to_cart,857,906,mobile
S000165,product_detail,add_to_cart,1261,905,app
S000165,product_detail,add_to_cart,844,905,app
S000166,product_detail,main_image,617,149,mobile
S000166,product_detail,main_image,540,153,mobile
S000167,product_detail,add_to_cart,1089,903,desktop
S000168,product_detail,main_image,587,194,mobile
S000169,product_detail,reviews_tab,606,1222,desktop
S000169,product_detail,thumbnails,179,826,desktop
S000169,product_detail,add_to_cart,1206,906,desktop
S000169,product_detail,add_to_cart,999,916,desktop
S000169,product_detail,reviews_tab,426,1238,desktop
S000169,product_detail,wishlist,1140,917,desktop
S000170,product_detail,add_to_cart,1075,934,mobile
S000170,product_detail,coupon_banner,1044,163,mobile
S000171,product_detail,add_to_cart,980,949,app
S000173,product_detail,thumbnails,141,530,mobile
S000174,product_detail,thumbnails,208,824,mobile
S000175,product_detail,add_to_cart,1117,938,desktop
S000175,product_detail,reviews_tab,569,1204,desktop
S000175,product_detail,add_to_cart,1172,966,desktop
S000175,product_detail,main_image,435,625,desktop
S000175,product_detail,size_chart,861,699,desktop
S000176,product_detail,main_image,275,259,mobile
S000176,product_detail,main_image,386,558,mobile
S000176,product_detail,add_to_cart,997,897,mobile
S000177,product_detail,size_chart,893,731,desktop
S000178,product_detail,size_chart,840,706,desktop
S000178,product_detail,thumbnails,164,845,desktop
S000179,product_detail,add_to_cart,1009,911,app
S000180,product_detail,add_to_cart,892,913,mobile
S000181,product_detail,reviews_tab,559,1238,mobile
S000181,product_detail,main_image,579,389,mobile
S000181,product_detail,main_image,515,485,mobile
S000182,product_detail,add_to_cart,1089,923,mobile
S000182,product_detail,main_image,453,840,mobile
S000183,product_detail,detail_text,808,2110,app
S000183,product_detail,reviews_tab,545,1236,app
S000183,product_detail,reviews_tab,928,1242,app
S000183,product_detail,wishlist,1115,908,app
S000184,product_detail,wishlist,1114,918,app
S000184,product_detail,main_image,212,367,app
S000185,product_detail,reviews_tab,628,1258,app
S000186,product_detail,reviews_tab,303,1280,app
S000186,product_detail,add_to_cart,1086,927,app
S000186,product_detail,main_image,505,253,app
S000186,product_detail,main_image,455,537,app
S000186,product_detail,main_image,289,431,app
S000186,product_detail,size_chart,821,697,app
S000186,product_detail,size_chart,965,739,app
S000186,product_detail,coupon_banner,747,219,app
S000186,product_detail,main_image,494,225,app
S000186,product_detail,reviews_tab,733,1277,app
S000187,product_detail,detail_text,673,1649,mobile
S000187,product_detail,add_to_cart,812,904,mobile
S000189,product_detail,coupon_banner,986,217,app
S000189,product_detail,add_to_cart,1142,965,app
S000189,product_detail,detail_text,518,2300,app
S000189,product_detail,size_chart,789,689,app
S000190,product_detail,main_image,479,597,desktop
S000191,product_detail,coupon_banner,955,205,desktop
S000191,product_detail,reviews_tab,667,1260,desktop
S000191,product_detail,coupon_banner,0,215,desktop
S000192,product_detail,reviews_tab,557,1289,app
S000192,product_detail,main_image,455,549,app
S000193,product_detail,main_image,410,558,desktop
S000193,product_detail,detail_text,363,1806,desktop
S000193,product_detail,size_chart,900,687,desktop
S000193,product_detail,main_image,341,277,desktop
S000194,product_detail,reviews_tab,420,1223,app
S000195,product_detail,main_image,239,427,mobile
S000195,product_detail,add_to_cart,1199,884,mobile
S000196,product_detail,add_to_cart,816,887,desktop
S000197,product_detail,main_image,397,175,desktop
S000197,product_detail,add_to_cart,898,951,desktop
S000200,product_detail,wishlist,1129,916,app
S000200,product_detail,reviews_tab,617,1246,app
S000200,product_detail,reviews_tab,581,1236,app
S000200,product_detail,main_image,534,652,app
S000200,product_detail,detail_text,171,1901,app
S000201,product_detail,main_image,354,696,mobile
S000202,product_detail,reviews_tab,679,1259,mobile
S000203,product_detail,add_to_cart,1075,957,mobile
S000204,product_detail,wishlist,1154,891,desktop
S000204,product_detail,add_to_cart,856,917,desktop
S000206,product_detail,thumbnails,185,768,mobile
S000206,product_detail,main_image,487,611,mobile
S000206,product_detail,main_image,636,388,mobile
S000206,product_detail,main_image,279,564,mobile
S000207,product_detail,add_to_cart,918,953,app
S000210,product_detail,main_image,443,498,mobile
S000211,product_detail,main_image,400,446,desktop
S000211,product_detail,add_to_cart,1122,915,desktop
S000212,product_detail,main_image,240,329,mobile
S000212,product_detail,add_to_cart,1147,961,mobile
S000213,product_detail,main_image,339,639,app
S000213,product_detail,reviews_tab,734,1247,app
S000213,product_detail,wishlist,1153,883,app
S000213,product_detail,add_to_cart,1051,916,app
S000213,product_detail,main_image,547,555,app
S000213,product_detail,thumbnails,203,813,app
S000213,product_detail,main_image,358,459,app
S000214,product_detail,main_image,513,764,app
S000214,product_detail,wishlist,1166,935,app
S000215,product_detail,wishlist,1096,911,app
S000215,product_detail,reviews_tab,379,1282,app
S000215,product_detail,add_to_cart,1135,928,app
S000215,product_detail,main_image,259,549,app
S000218,product_detail,thumbnails,181,458,mobile
S000218,product_detail,reviews_tab,888,1252,mobile
S000218,product_detail,main_image,747,414,mobile
S000218,product_detail,reviews_tab,664,1253,mobile
S000218,product_detail,add_to_cart,911,922,mobile
S000218,product_detail,wishlist,1150,917,mobile
S000218,product_detail,reviews_tab,509,1260,mobile
S000219,product_detail,wishlist,1129,921,mobile
S000219,product_detail,detail_text,1259,1862,mobile
S000221,product_detail,thumbnails,201,814,app
S000223,product_detail,reviews_tab,441,1264,mobile
S000223,product_detail,reviews_tab,654,1246,mobile
S000223,product_detail,wishlist,1167,917,mobile
S000224,product_detail,add_to_cart,844,915,mobile
S000224,product_detail,main_image,283,518,mobile
S000225,product_detail,add_to_cart,867,916,app
S000226,product_detail,size_chart,920,696,mobile
S000226,product_detail,reviews_tab,391,1257,mobile
S000226,product_detail,add_to_cart,994,934,mobile
S000226,product_detail,add_to_cart,900,912,mobile
S000227,product_detail,main_image,384,311,mobile
S000227,product_detail,detail_text,790,2167,mobile
S000228,product_detail,add_to_cart,972,913,mobile
S000228,product_detail,add_to_cart,777,922,mobile
S000228,product_detail,size_chart,858,718,mobile
S000229,product_detail,main_image,483,568,mobile
S000230,product_detail,detail_text,1238,2578,mobile
S000233,product_detail,main_image,500,718,mobile
S000233,product_detail,main_image,178,739,mobile
S000233,product_detail,size_chart,786,700,mobile
S000233,product_detail,main_image,474,324,mobile
S000233,product_detail,main_image,342,369,mobile
S000233,product_detail,main_image,511,849,mobile
S000239,product_detail,main_image,553,371,mobile
S000239,product_detail,reviews_tab,664,1227,mobile
S000239,product_detail,main_image,336,625,mobile
S000240,product_detail,add_to_cart,1057,989,mobile
S000242,product_detail,reviews_tab,386,1256,mobile
S000242,product_detail,detail_text,567,1926,mobile
S000243,product_detail,detail_text,785,2130,app
S000243,product_detail,size_chart,866,693,app
S000243,product_detail,main_image,520,596,app
S000244,product_detail,add_to_cart,1118,921,mobile
S000245,product_detail,size_chart,902,728,mobile
S000245,product_detail,main_image,348,926,mobile
S000246,product_detail,add_to_cart,1066,888,app
S000247,product_detail,thumbnails,134,801,app
S000248,product_detail,detail_text,535,2537,mobile
S000249,product_detail,size_chart,849,708,mobile
S000250,product_detail,add_to_cart,839,914,mobile
S000250,product_detail,add_to_cart,849,897,mobile
S000254,product_detail,reviews_tab,498,1229,app
S000254,product_detail,thumbnails,184,758,app
S000254,product_detail,size_chart,826,695,app
S000256,product_detail,size_chart,903,703,mobile
S000256,product_detail,reviews_tab,954,1247,mobile
S000256,product_detail,main_image,511,424,mobile
S000257,product_detail,reviews_tab,476,1247,app
S000257,product_detail,reviews_tab,563,1238,app
S000258,product_detail,add_to_cart,862,955,mobile
S000259,product_detail,main_image,249,620,mobile
S000259,product_detail,add_to_cart,830,903,mobile
S000260,product_detail,size_chart,858,670,app
S000260,product_detail,thumbnails,130,658,app
S000261,product_detail,add_to_cart,1153,951,mobile
S000261,product_detail,main_image,365,545,mobile
S000261,product_detail,wishlist,1152,921,mobile
S000261,product_detail,size_chart,940,673,mobile
S000261,product_detail,main_image,495,596,mobile
S000262,product_detail,wishlist,1173,899,mobile
S000262,product_detail,size_chart,890,740,mobile
S000262,product_detail,main_image,354,529,mobile
S000264,product_detail,main_image,365,556,mobile
S000264,product_detail,reviews_tab,674,1290,mobile
S000264,product_detail,main_image,497,345,mobile
S000264,product_detail,size_chart,785,689,mobile
S000265,product_detail,main_image,315,376,mobile
S000265,product_detail,thumbnails,128,665,mobile
S000265,product_detail,reviews_tab,477,1226,mobile
S000265,product_detail,size_chart,862,669,mobile
S000266,product_detail,detail_text,961,1771,mobile
S000267,product_detail,main_image,465,401,mobile
S000268,product_detail,reviews_tab,850,1288,desktop
S000268,product_detail,add_to_cart,945,891,desktop
S000268,product_detail,size_chart,818,693,desktop
S000271,product_detail,main_image,479,608,desktop
S000274,product_detail,main_image,222,392,desktop
S000274,product_detail,size_chart,926,693,desktop
S000274,product_detail,main_image,373,669,desktop
S000275,product_detail,detail_text,192,2042,mobile
S000276,product_detail,size_chart,902,703,mobile
S000276,product_detail,main_image,365,495,mobile
S000276,product_detail,add_to_cart,1201,927,mobile
S000277,product_detail,main_image,330,301,mobile
S000277,product_detail,main_image,453,610,mobile
S000279,product_detail,main_image,410,593,mobile
S000279,product_detail,main_image,486,445,mobile
S000279,product_detail,coupon_banner,587,231,mobile
S000280,product_detail,add_to_cart,1021,933,mobile
S000280,product_detail,size_chart,933,705,mobile
S000280,product_detail,main_image,427,460,mobile
S000281,product_detail,detail_text,431,2160,mobile
S000281,product_detail,add_to_cart,1006,930,mobile
S000281,product_detail,thumbnails,211,787,mobile
S000281,product_detail,detail_text,1020,1772,mobile
S000282,product_detail,main_image,430,609,mobile
S000282,product_detail,wishlist,1113,972,mobile
S000282,product_detail,thumbnails,129,864,mobile
S000282,product_detail,reviews_tab,699,1248,mobile
S000282,product_detail,main_image,260,673,mobile
S000283,product_detail,main_image,467,341,desktop
S000283,product_detail,add_to_cart,965,922,desktop
S000283,product_detail,main_image,317,333,desktop
S000284,product_detail,main_image,252,734,app
S000284,product_detail,add_to_cart,834,915,app
S000284,product_detail,size_chart,756,705,app
S000285,product_detail,thumbnails,172,965,app
S000285,product_detail,reviews_tab,684,1244,app
S000285,product_detail,add_to_cart,861,961,app
S000285,product_detail,size_chart,749,708,app
S000286,product_detail,add_to_cart,843,917,app
S000286,product_detail,main_image,342,579,app
S000286,product_detail,add_to_cart,1062,897,app
S000286,product_detail,detail_text,433,2235,app
S000286,product_detail,size_chart,933,684,app
S000286,product_detail,size_chart,911,674,app
S000286,product_detail,thumbnails,154,790,app
S000286,product_detail,main_image,563,500,app
S000286,product_detail,add_to_cart,959,896,app
S000287,product_detail,wishlist,1158,920,mobile
S000287,product_detail,add_to_cart,1036,937,mobile
S000288,product_detail,size_chart,956,706,desktop
S000288,product_detail,wishlist,1145,966,desktop
S000290,product_detail,detail_text,798,1789,mobile
S000290,product_detail,size_chart,1022,697,mobile
S000290,product_detail,main_image,398,408,mobile
S000290,product_detail,main_image,327,868,mobile
S000290,product_detail,size_chart,886,692,mobile
S000290,product_detail,main_image,540,506,mobile
S000291,product_detail,detail_text,735,1462,app
S000291,product_detail,main_image,483,175,app
S000292,product_detail,main_image,365,737,app
S000292,product_detail,add_to_cart,1068,944,app
S000293,product_detail,detail_text,770,1534,mobile
S000295,product_detail,add_to_cart,955,896,mobile
S000295,product_detail,size_chart,844,720,mobile
S000296,product_detail,main_image,468,686,mobile
S000297,product_detail,add_to_cart,1021,958,desktop
S000297,product_detail,add_to_cart,1065,903,desktop
S000299,product_detail,main_image,553,376,desktop
S000299,product_detail,reviews_tab,651,1244,desktop
S000299,product_detail,main_image,369,584,desktop
S000299,product_detail,add_to_cart,1058,938,desktop
S000299,product_detail,main_image,281,468,desktop
S000299,product_detail,add_to_cart,1147,897,desktop
S000299,product_detail,main_image,197,710,desktop
S000299,product_detail,add_to_cart,970,894,desktop
S000300,product_detail,detail_text,933,2599,mobile
S000300,product_detail,add_to_cart,1063,922,mobile
S000300,product_detail,wishlist,1145,904,mobile
S000300,product_detail,size_chart,822,710,mobile
S000300,product_detail,add_to_cart,1112,885,mobile
S000300,product_detail,add_to_cart,990,909,mobile
S000301,product_detail,main_image,510,415,desktop
S000302,product_detail,main_image,423,408,mobile
S000302,product_detail,detail_text,651,1292,mobile
S000302,product_detail,main_image,484,346,mobile
S000302,product_detail,add_to_cart,1103,932,mobile
S000302,product_detail,reviews_tab,521,1259,mobile
S000303,product_detail,size_chart,945,670,desktop
S000303,product_detail,detail_text,644,2017,desktop
S000304,product_detail,add_to_cart,987,941,desktop
S000304,product_detail,main_image,306,539,desktop
S000304,product_detail,detail_text,1023,1692,desktop
S000304,product_detail,reviews_tab,606,1221,desktop
S000304,product_detail,wishlist,1116,877,desktop
S000304,product_detail,size_chart,908,704,desktop
S000304,product_detail,main_image,533,373,desktop
S000305,product_detail,thumbnails,130,879,app
S000305,product_detail,main_image,389,341,app
S000305,product_detail,size_chart,915,662,app
S000306,product_detail,add_to_cart,972,940,desktop
S000306,product_detail,main_image,537,361,desktop
S000306,product_detail,main_image,532,630,desktop
S000306,product_detail,reviews_tab,592,1252,desktop
S000308,product_detail,detail_text,1102,2335,mobile
S000308,product_detail,wishlist,1160,915,mobile
S000308,product_detail,thumbnails,76,814,mobile
S000308,product_detail,coupon_banner,810,144,mobile
S000308,product_detail,main_image,485,485,mobile
S000308,product_detail,coupon_banner,775,195,mobile
S000308,product_detail,add_to_cart,904,922,mobile
S000309,product_detail,main_image,406,614,mobile
S000309,product_detail,reviews_tab,487,1235,mobile
