review_id,product_id,customer_id,created_at,rating,size_purchased,height_cm,weight_kg,fit,text,aspect_labels
R00065,P001,C0418,2026-01-26,2,M,173,41,large,기장이 너무 길어요. 배송이 일주일 넘게 걸렸어요.,size:neg;delivery:neg
R00066,P040,C0259,2026-06-01,5,S,164,45,small,원단이 고급스러워요.,material:pos
R00067,P040,C0270,2026-01-14,3,XL,180,73,true_to_size,가격 대비 만족해요. 화면과 색이 달라요.,price:pos;color:neg
R00068,P030,C0294,2026-03-25,4,S,157,75,small,포장이 꼼꼼했어요. 가격에 비해 아쉬워요.,delivery:pos;price:neg
R00069,P007,C0330,2026-01-21,5,XL,171,67,large,소재가 부드럽고 촉감이 좋아요.,material:pos
R00070,P066,C0033,2026-06-01,2,S,169,52,small,한 치수 크게 사야 해요. 이 가격이면 다른 데가 나아요.,size:neg;price:neg
R00071,P021,C0040,2026-06-21,5,M,163,51,true_to_size,정사이즈라 고민 없이 골랐어요. 색상이 화면과 똑같아요. 가격 대비 만족해요.,size:pos;color:pos;price:pos
R00072,P046,C0044,2026-06-24,2,L,183,40,large,박스가 찌그러져 왔어요. 사이즈가 생각보다 작아요.,delivery:neg;size:neg
R00073,P038,C0259,2026-04-25,1,L,168,55,large,화면과 색이 달라요. 기장이 너무 길어요.,color:neg;size:neg
R00074,P060,C0215,2026-06-27,4,XL,161,66,large,배송이 일주일 넘게 걸렸어요. 두께감이 적당해요.,delivery:neg;material:pos
R00075,P059,C0275,2026-04-12,2,M,162,51,true_to_size,보풀이 금방 생겨요.,material:neg
R00076,P007,C0447,2026-04-04,5,M,151,56,large,색상이 화면과 똑같아요.,color:pos
R00077,P030,C0284,2026-02-27,5,L,175,60,large,포장이 꼼꼼했어요. 가격 대비 만족해요. 사이즈가 생각보다 작아요.,delivery:pos;price:pos;size:neg
R00078,P011,C0148,2026-04-09,4,XL,168,69,large,색감이 고급스러워요.,color:pos
R00079,P043,C0353,2026-02-28,5,L,159,44,large,색상이 화면과 똑같아요.,color:pos
R00080,P008,C0005,2026-03-08,4,L,162,67,large,소재가 부드럽고 촉감이 좋아요. 색상이 사진보다 어두워요.,material:pos;color:neg
R00081,P006,C0302,2026-03-13,5,M,165,53,true_to_size,세일가에 잘 샀어요. 색상이 화면과 똑같아요. 두께감이 적당해요.,price:pos;color:pos;material:pos
R00082,P019,C0113,2026-04-26,5,L,166,49,large,소재가 부드럽고 촉감이 좋아요.,material:pos
R00083,P030,C0110,2026-06-19,4,M,152,53,large,한 치수 크게 사야 해요. 두께감이 적당해요.,size:neg;material:pos
R00084,P064,C0453,2026-02-06,4,XL,179,65,large,원단이 고급스러워요. 한 치수 크게 사야 해요.,material:pos;size:neg
R00085,P042,C0357,2026-05-18,5,L,149,46,large,색감이 고급스러워요.,color:pos
R00086,P013,C0467,2026-04-08,5,S,164,57,small,색감이 고급스러워요. 기장이 너무 길어요. 세일가에 잘 샀어요.,color:pos;size:neg;price:pos
R00087,P043,C0146,2026-05-01,5,S,161,51,true_to_size,원단이 고급스러워요. 핏이 예쁘게 떨어져요.,material:pos;size:pos
R00088,P013,C0192,2026-02-13,2,S,166,71,small,기장이 너무 길어요. 색감이 고급스러워요.,size:neg;color:pos
R00089,P021,C0299,2026-04-17,2,M,162,58,true_to_size,화면과 색이 달라요.,color:neg
R00090,P074,C0001,2026-06-13,3,FREE,171,85,small,기장이 너무 길어요. 색상이 사진보다 어두워요.,size:neg;color:neg
R00091,P042,C0570,2026-02-10,1,L,167,54,true_to_size,가격에 비해 아쉬워요.,price:neg
R00092,P064,C0044,2026-05-18,2,M,161,59,large,가격에 비해 아쉬워요.,price:neg
R00093,P072,C0057,2026-04-14,5,L,172,72,small,색감이 고급스러워요. 두께감이 적당해요.,color:pos;material:pos
R00094,P071,C0350,2026-01-20,4,L,163,49,large,기장이 너무 길어요. 색감이 고급스러워요.,size:neg;color:pos
R00095,P013,C0018,2026-04-17,5,M,159,48,true_to_size,두께감이 적당해요. 핏이 예쁘게 떨어져요.,material:pos;size:pos
R00096,P016,C0283,2026-02-14,5,M,154,50,true_to_size,사이즈가 딱 맞아요.,size:pos
R00097,P076,C0214,2026-03-11,5,FREE,169,55,true_to_size,색상이 화면과 똑같아요.,color:pos
R00098,P040,C0325,2026-04-05,3,L,180,48,true_to_size,가격에 비해 아쉬워요.,price:neg
R00099,P016,C0130,2026-06-09,5,L,179,58,true_to_size,배송이 빨라요.,delivery:pos
R00100,P008,C0456,2026-02-24,5,M,153,52,large,두께감이 적당해요. 세일가에 잘 샀어요.,material:pos;price:pos
R00101,P008,C0418,2026-01-24,3,S,170,59,small,기장이 너무 길어요.,size:neg
R00102,P037,C0400,2026-06-22,5,S,178,61,small,색상이 화면과 똑같아요. 배송이 빨라요. 세일가에 잘 샀어요.,color:pos;delivery:pos;price:pos
R00103,P015,C0077,2026-03-17,4,S,168,63,true_to_size,기장이 너무 길어요. 두께감이 적당해요. 세일가에 잘 샀어요.,size:neg;material:pos;price:pos
R00104,P032,C0036,2026-05-28,3,L,161,48,large,색상이 사진보다 어두워요. 기장이 너무 길어요.,color:neg;size:neg
R00105,P052,C0239,2026-07-06,5,XL,168,55,large,가격 대비 만족해요.,price:pos
R00106,P075,C0415,2026-01-31,3,FREE,163,55,large,한 치수 크게 사야 해요. 색상이 화면과 똑같아요. 가격에 비해 아쉬워요.,size:neg;color:pos;price:neg
R00107,P051,C0112,2026-04-11,3,M,155,59,large,두께감이 적당해요. 사이즈가 생각보다 작아요. 포장이 꼼꼼했어요.,material:pos;size:neg;delivery:pos
R00108,P064,C0058,2026-05-13,5,S,170,43,true_to_size,가격 대비 만족해요. 소재가 부드럽고 촉감이 좋아요. 포장이 꼼꼼했어요.,price:pos;material:pos;delivery:pos
R00109,P053,C0496,2026-02-19,4,L,157,54,large,세일가에 잘 샀어요. 사이즈가 생각보다 작아요. 두께감이 적당해요.,price:pos;size:neg;material:pos
R00110,P040,C0110,2026-03-07,3,S,169,62,small,사이즈가 생각보다 작아요.,size:neg
R00111,P004,C0502,2026-01-20,1,XL,156,71,large,기장이 너무 길어요. 소재가 얇고 비쳐요.,size:neg;material:neg
R00112,P042,C0477,2026-03-30,4,L,162,51,large,세일가에 잘 샀어요. 원단이 뻣뻣해요.,price:pos;material:neg
R00113,P055,C0354,2026-07-12,3,L,162,44,large,색상이 화면과 똑같아요. 보풀이 금방 생겨요.,color:pos;material:neg
R00114,P036,C0221,2026-03-10,4,M,161,60,true_to_size,색감이 고급스러워요. 원단이 고급스러워요.,color:pos;material:pos
R00115,P009,C0089,2026-02-09,1,L,160,56,large,한 치수 크게 사야 해요.,size:neg
R00116,P055,C0181,2026-03-16,5,S,167,59,small,세일가에 잘 샀어요.,price:pos
R00117,P064,C0155,2026-06-04,1,S,157,61,true_to_size,소재가 얇고 비쳐요.,material:neg
R00118,P006,C0066,2026-03-03,2,M,169,66,true_to_size,박스가 찌그러져 왔어요.,delivery:neg
R00119,P073,C0204,2026-06-05,5,FREE,163,55,true_to_size,소재가 부드럽고 촉감이 좋아요.,material:pos
R00120,P010,C0357,2026-02-02,1,M,169,65,small,이 가격이면 다른 데가 나아요.,price:neg
R00121,P013,C0465,2026-01-18,4,L,187,67,small,색감이 고급스러워요. 박스가 찌그러져 왔어요.,color:pos;delivery:neg
R00122,P040,C0093,2026-05-01,2,L,157,60,large,박스가 찌그러져 왔어요.,delivery:neg
R00123,P006,C0130,2026-03-27,1,M,171,63,small,한 치수 크게 사야 해요.,size:neg
R00124,P066,C0052,2026-01-15,5,L,162,40,large,색감이 고급스러워요. 포장이 꼼꼼했어요.,color:pos;delivery:pos
R00125,P029,C0235,2026-06-14,4,L,158,52,large,원단이 고급스러워요. 색감이 고급스러워요.,material:pos;color:pos
R00126,P045,C0087,2026-07-01,4,M,180,77,small,색감이 고급스러워요. 한 치수 크게 사야 해요. 두께감이 적당해요.,color:pos;size:neg;material:pos
R00127,P061,C0436,2026-05-19,4,L,172,49,large,세일가에 잘 샀어요. 소재가 부드럽고 촉감이 좋아요.,price:pos;material:pos
R00128,P079,C0110,2026-05-21,2,FREE,167,61,true_to_size,색상이 사진보다 어두워요.,color:neg
R00129,P055,C0240,2026-01-21,5,S,154,50,true_to_size,세일가에 잘 샀어요. 포장이 꼼꼼했어요. 원단이 고급스러워요.,price:pos;delivery:pos;material:pos
R00130,P017,C0005,2026-01-06,3,XL,167,41,large,박스가 찌그러져 왔어요.,delivery:neg
R00131,P042,C0033,2026-01-19,5,L,176,61,small,가격 대비 만족해요.,price:pos
R00132,P028,C0068,2026-04-03,2,M,170,71,small,한 치수 크게 사야 해요. 원단이 뻣뻣해요.,size:neg;material:neg
R00133,P040,C0058,2026-02-10,5,L,168,51,large,가격 대비 만족해요. 색감이 고급스러워요.,price:pos;color:pos
R00134,P060,C0333,2026-05-01,3,M,159,52,large,사이즈가 생각보다 작아요. 세일가에 잘 샀어요. 배송이 일주일 넘게 걸렸어요.,size:neg;price:pos;delivery:neg
R00135,P027,C0441,2026-05-31,3,M,170,65,true_to_size,이 가격이면 다른 데가 나아요. 정사이즈라 고민 없이 골랐어요.,price:neg;size:pos
R00136,P040,C0246,2026-02-13,5,L,172,60,true_to_size,포장이 꼼꼼했어요.,delivery:pos
R00137,P013,C0209,2026-02-21,2,S,153,61,small,가격에 비해 아쉬워요.,price:neg
R00138,P043,C0333,2026-02-13,3,M,162,65,true_to_size,색상이 화면과 똑같아요. 보풀이 금방 생겨요.,color:pos;material:neg
R00139,P040,C0053,2026-06-01,5,S,167,68,small,세일가에 잘 샀어요.,price:pos
R00140,P045,C0214,2026-04-04,3,M,170,75,small,가격에 비해 아쉬워요.,price:neg
R00141,P047,C0386,2026-06-29,5,L,152,60,large,두께감이 적당해요.,material:pos
R00142,P008,C0077,2026-02-24,5,XL,163,41,large,두께감이 적당해요.,material:pos
R00143,P024,C0467,2026-05-30,5,M,171,43,large,색상이 화면과 똑같아요.,color:pos
R00144,P009,C0005,2026-02-23,3,M,157,61,large,색상이 사진보다 어두워요. 기장이 너무 길어요.,color:neg;size:neg
R00145,P017,C0516,2026-02-17,2,M,172,55,small,기장이 너무 길어요.,size:neg
R00146,P042,C0489,2026-04-25,5,M,164,57,true_to_size,배송이 빨라요.,delivery:pos
R00147,P048,C0113,2026-07-02,5,S,158,51,true_to_size,포장이 꼼꼼했어요.,delivery:pos
R00148,P057,C0451,2026-03-06,5,M,177,73,small,원단이 고급스러워요.,material:pos
R00149,P040,C0010,2026-06-28,4,S,171,50,small,세일가에 잘 샀어요. 사이즈가 생각보다 작아요.,price:pos;size:neg
R00150,P003,C0190,2026-06-26,2,M,166,62,true_to_size,배송이 빨라요. 색상이 사진보다 어두워요.,delivery:pos;color:neg
R00151,P030,C0595,2026-05-27,3,XL,149,58,large,기장이 너무 길어요. 포장이 꼼꼼했어요.,size:neg;delivery:pos
R00152,P026,C0429,2026-06-23,5,S,164,50,true_to_size,색감이 고급스러워요. 가격 대비 만족해요.,color:pos;price:pos
R00153,P051,C0587,2026-06-14,2,M,165,61,large,색상이 사진보다 어두워요.,color:neg
R00154,P008,C0386,2026-02-02,5,M,161,45,large,세일가에 잘 샀어요.,price:pos
R00155,P059,C0018,2026-03-02,5,M,173,54,small,세일가에 잘 샀어요. 사이즈가 생각보다 작아요.,price:pos;size:neg
R00156,P040,C0597,2026-05-24,5,M,169,48,true_to_size,정사이즈라 고민 없이 골랐어요.,size:pos
R00157,P016,C0279,2026-07-03,4,M,160,59,true_to_size,두께감이 적당해요.,material:pos
R00158,P048,C0171,2026-05-05,2,L,156,44,large,사이즈가 생각보다 작아요.,size:neg
R00159,P043,C0361,2026-02-08,5,M,156,71,true_to_size,정사이즈라 고민 없이 골랐어요. 세일가에 잘 샀어요.,size:pos;price:pos
R00160,P019,C0567,2026-06-19,5,L,178,73,true_to_size,색감이 고급스러워요.,color:pos
R00161,P060,C0532,2026-02-05,4,XL,170,55,large,소재가 부드럽고 촉감이 좋아요. 배송이 빨라요. 사이즈가 생각보다 작아요.,material:pos;delivery:pos;size:neg
R00162,P073,C0192,2026-03-01,5,FREE,156,40,large,포장이 꼼꼼했어요. 가격 대비 만족해요.,delivery:pos;price:pos
R00163,P034,C0519,2026-05-21,5,XL,170,73,large,색감이 고급스러워요.,color:pos
R00164,P040,C0083,2026-02-22,5,M,169,63,small,두께감이 적당해요.,material:pos
R00165,P040,C0573,2026-04-22,1,M,162,51,true_to_size,배송이 일주일 넘게 걸렸어요.,delivery:neg
R00166,P023,C0350,2026-02-25,4,XL,165,52,large,세일가에 잘 샀어요. 배송이 일주일 넘게 걸렸어요.,price:pos;delivery:neg
R00167,P069,C0099,2026-05-31,5,M,169,55,true_to_size,색상이 화면과 똑같아요.,color:pos
R00168,P080,C0148,2026-03-17,5,FREE,176,56,true_to_size,색감이 고급스러워요. 정사이즈라 고민 없이 골랐어요.,color:pos;size:pos
R00169,P072,C0526,2026-06-24,4,M,156,56,large,배송이 빨라요.,delivery:pos
R00170,P014,C0545,2026-03-05,2,L,153,71,large,이 가격이면 다른 데가 나아요. 포장이 꼼꼼했어요.,price:neg;delivery:pos
R00171,P028,C0058,2026-01-24,5,M,167,56,true_to_size,사이즈가 딱 맞아요.,size:pos
R00172,P055,C0001,2026-05-05,5,XL,174,66,large,포장이 꼼꼼했어요.,delivery:pos
R00173,P015,C0113,2026-02-23,5,M,164,57,true_to_size,색상이 화면과 똑같아요.,color:pos
R00174,P011,C0018,2026-05-30,4,M,158,61,true_to_size,사이즈가 딱 맞아요. 이 가격이면 다른 데가 나아요. 포장이 꼼꼼했어요.,size:pos;price:neg;delivery:pos
R00175,P040,C0259,2026-01-27,5,M,159,61,true_to_size,포장이 꼼꼼했어요.,delivery:pos
R00176,P040,C0489,2026-04-30,5,M,162,42,true_to_size,핏이 예쁘게 떨어져요.,size:pos
R00177,P059,C0207,2026-04-19,3,S,160,42,small,이 가격이면 다른 데가 나아요.,price:neg
R00178,P055,C0317,2026-07-15,5,M,172,57,true_to_size,원단이 고급스러워요.,material:pos
R00179,P017,C0190,2026-02-14,2,M,156,60,large,한 치수 크게 사야 해요.,size:neg
R00180,P078,C0515,2026-07-03,5,FREE,154,56,large,원단이 고급스러워요.,material:pos
R00181,P040,C0335,2026-02-21,4,M,161,60,small,원단이 고급스러워요. 화면과 색이 달라요.,material:pos;color:neg
R00182,P076,C0564,2026-05-04,5,FREE,167,55,large,세일가에 잘 샀어요. 색상이 화면과 똑같아요.,price:pos;color:pos
R00183,P053,C0214,2026-04-16,2,M,167,65,small,기장이 너무 길어요.,size:neg
R00184,P078,C0308,2026-06-23,5,FREE,173,56,true_to_size,정사이즈라 고민 없이 골랐어요. 배송이 빨라요.,size:pos;delivery:pos
R00185,P021,C0242,2026-03-03,1,M,177,73,small,사이즈가 생각보다 작아요. 가격에 비해 아쉬워요.,size:neg;price:neg
R00186,P035,C0333,2026-03-17,5,M,162,54,true_to_size,배송이 빨라요.,delivery:pos
R00187,P011,C0122,2026-04-06,5,L,166,54,large,배송이 빨라요.,delivery:pos
R00188,P006,C0570,2026-01-15,5,S,148,61,small,포장이 꼼꼼했어요.,delivery:pos
R00189,P064,C0077,2026-04-16,2,XL,159,41,large,포장이 꼼꼼했어요. 원단이 뻣뻣해요. 이 가격이면 다른 데가 나아요.,delivery:pos;material:neg;price:neg
R00190,P027,C0250,2026-07-03,5,M,155,58,true_to_size,배송이 빨라요.,delivery:pos
R00191,P007,C0100,2026-02-03,5,M,167,41,true_to_size,색감이 고급스러워요.,color:pos
R00192,P011,C0109,2026-01-30,4,S,172,76,small,색감이 고급스러워요. 배송이 일주일 넘게 걸렸어요.,color:pos;delivery:neg
R00193,P001,C0148,2026-03-22,5,XL,175,71,large,세일가에 잘 샀어요.,price:pos
R00194,P008,C0129,2026-05-17,5,L,177,71,true_to_size,배송이 빨라요.,delivery:pos
R00195,P055,C0112,2026-05-02,2,M,164,61,true_to_size,화면과 색이 달라요.,color:neg
R00196,P074,C0124,2026-04-16,4,FREE,164,59,large,포장이 꼼꼼했어요. 색상이 사진보다 어두워요.,delivery:pos;color:neg
R00197,P078,C0568,2026-03-22,3,FREE,177,56,true_to_size,소재가 부드럽고 촉감이 좋아요. 화면과 색이 달라요.,material:pos;color:neg
R00198,P037,C0400,2026-05-13,1,L,184,62,large,가격에 비해 아쉬워요.,price:neg
R00199,P002,C0114,2026-02-21,5,L,168,45,large,두께감이 적당해요.,material:pos
R00200,P040,C0182,2026-06-19,2,L,180,68,small,소재가 얇고 비쳐요. 한 치수 크게 사야 해요.,material:neg;size:neg
R00201,P001,C0424,2026-02-20,1,L,154,60,large,소재가 얇고 비쳐요.,material:neg
R00202,P059,C0066,2026-03-20,2,XL,175,54,large,사이즈가 생각보다 작아요.,size:neg
R00203,P063,C0596,2026-02-12,3,M,174,67,true_to_size,색상이 화면과 똑같아요. 박스가 찌그러져 왔어요.,color:pos;delivery:neg
R00204,P055,C0357,2026-04-08,5,S,163,45,true_to_size,배송이 빨라요. 색상이 화면과 똑같아요.,delivery:pos;color:pos
R00205,P008,C0302,2026-03-28,5,M,162,59,large,색감이 고급스러워요. 세일가에 잘 샀어요.,color:pos;price:pos
R00206,P052,C0455,2026-06-12,3,XL,173,66,large,두께감이 적당해요. 이 가격이면 다른 데가 나아요.,material:pos;price:neg
R00207,P040,C0595,2026-05-12,3,L,159,50,true_to_size,보풀이 금방 생겨요. 사이즈가 생각보다 작아요.,material:neg;size:neg
R00208,P055,C0275,2026-06-13,5,S,166,55,small,배송이 빨라요.,delivery:pos
R00209,P059,C0447,2026-05-04,5,M,160,58,true_to_size,포장이 꼼꼼했어요.,delivery:pos
R00210,P017,C0596,2026-01-29,2,M,173,76,small,가격에 비해 아쉬워요.,price:neg
R00211,P008,C0593,2026-02-02,5,S,164,52,true_to_size,배송이 빨라요. 색감이 고급스러워요.,delivery:pos;color:pos
R00212,P001,C0186,2026-07-07,3,S,161,45,true_to_size,색감이 고급스러워요. 이 가격이면 다른 데가 나아요. 사이즈가 생각보다 작아요.,color:pos;price:neg;size:neg
R00213,P073,C0479,2026-06-20,4,FREE,161,54,true_to_size,가격 대비 만족해요.,price:pos
R00214,P008,C0062,2026-02-25,1,M,166,76,small,이 가격이면 다른 데가 나아요. 기장이 너무 길어요.,price:neg;size:neg
R00215,P032,C0153,2026-07-09,5,XL,183,82,true_to_size,소재가 부드럽고 촉감이 좋아요.,material:pos
R00216,P043,C0188,2026-05-28,5,L,178,76,true_to_size,가격 대비 만족해요.,price:pos
R00217,P055,C0115,2026-06-12,5,M,172,51,true_to_size,색상이 화면과 똑같아요.,color:pos
R00218,P016,C0438,2026-06-04,5,S,161,58,small,원단이 고급스러워요.,material:pos
R00219,P022,C0451,2026-07-16,2,S,175,80,small,사이즈가 생각보다 작아요.,size:neg
R00220,P026,C0250,2026-04-03,2,XL,150,57,large,이 가격이면 다른 데가 나아요.,price:neg
R00221,P011,C0335,2026-02-23,4,L,153,47,large,한 치수 크게 사야 해요. 세일가에 잘 샀어요.,size:neg;price:pos
R00222,P001,C0279,2026-04-21,2,M,169,50,large,배송이 일주일 넘게 걸렸어요. 기장이 너무 길어요. 이 가격이면 다른 데가 나아요.,delivery:neg;size:neg;price:neg
R00223,P043,C0277,2026-02-15,3,L,157,48,large,이 가격이면 다른 데가 나아요. 포장이 꼼꼼했어요.,price:neg;delivery:pos
