week_start,keyword,search_volume,product_count,competition
2026-05-21,오버핏 코트,24926,1185,0.91
2026-05-28,오버핏 코트,27105,1791,0.36
2026-06-04,오버핏 코트,21795,1930,0.63
2026-06-11,오버핏 코트,22763,1097,0.68
2026-06-18,오버핏 코트,23536,1139,0.81
2026-06-25,오버핏 코트,20074,2071,0.7
2026-01-01,크롭 니트,37541,2940,0.63
2026-01-08,크롭 니트,38685,2211,0.36
2026-01-15,크롭 니트,36181,556,0.68
2026-01-22,크롭 니트,35776,787,0.68
2026-01-29,크롭 니트,40053,119,0.2
2026-02-05,크롭 니트,39251,2461,0.45
2026-02-12,크롭 니트,37214,1619,0.52
2026-02-19,크롭 니트,42712,1385,0.62
2026-02-26,크롭 니트,40748,2592,0.63
2026-03-05,크롭 니트,43316,180,0.77
2026-03-12,크롭 니트,36627,2477,0.86
2026-03-19,크롭 니트,38968,740,0.59
2026-03-26,크롭 니트,38015,346,0.7
2026-04-02,크롭 니트,39911,1889,0.64
2026-04-09,크롭 니트,39897,223,0.39
2026-04-16,크롭 니트,37931,1808,0.3
2026-04-23,크롭 니트,41118,1421,0.67
2026-04-30,크롭 니트,36308,1245,0.31
2026-05-07,크롭 니트,43797,460,0.78
2026-05-14,크롭 니트,39553,2814,0.62
2026-05-21,크롭 니트,36464,478,0.88
2026-05-28,크롭 니트,40072,2465,0.54
2026-06-04,크롭 니트,38812,2604,0.66
2026-06-11,크롭 니트,37793,1180,0.79
2026-06-18,크롭 니트,39925,698,0.27
2026-06-25,크롭 니트,36156,2960,0.69
2026-01-01,발레코어,8668,2707,0.2
2026-01-08,발레코어,11244,1339,0.47
2026-01-15,발레코어,14181,931,0.28
2026-01-22,발레코어,18129,1914,0.64
2026-01-29,발레코어,25439,1670,0.4
2026-02-05,발레코어,33368,443,0.82
2026-02-12,발레코어,41428,845,0.48
2026-02-19,발레코어,44811,651,0.9
2026-02-26,발레코어,58307,2701,0.53
2026-03-05,발레코어,80091,747,0.93
2026-03-12,발레코어,98414,784,0.46
2026-03-19,발레코어,106377,1300,0.66
2026-03-26,발레코어,128039,395,0.88
2026-04-02,발레코어,165953,2213,0.43
2026-04-09,발레코어,180419,142,0.2
2026-04-16,발레코어,194813,1145,0.26
2026-04-23,발레코어,270004,2527,0.21
2026-04-30,발레코어,317583,118,0.58
2026-05-07,발레코어,301999,2456,0.42
2026-05-14,발레코어,383401,1478,0.3
2026-05-21,발레코어,408897,1948,0.37
2026-05-28,발레코어,455859,487,0.77
2026-06-04,발레코어,574454,2208,0.68
2026-06-11,발레코어,548119,2704,0.46
2026-06-18,발레코어,666079,1436,0.36
2026-06-25,발레코어,635652,2194,0.26
2026-01-01,바라클라바,2713,328,0.34
2026-01-08,바라클라바,2958,2216,0.93
2026-01-15,바라클라바,3659,762,0.45
2026-01-22,바라클라바,4065,274,0.78
2026-01-29,바라클라바,4122,1588,0.29
2026-02-05,바라클라바,5344,1164,0.57
2026-02-12,바라클라바,6077,1963,0.62
2026-02-19,바라클라바,6539,1447,0.5
2026-02-26,바라클라바,6416,1865,0.8
2026-03-05,바라클라바,7598,125,0.52
2026-03-12,바라클라바,9416,458,0.27
2026-03-19,바라클라바,9690,2693,0.22
2026-03-26,바라클라바,10654,1132,0.37
2026-04-02,바라클라바,12024,2078,0.66
2026-04-09,바라클라바,12338,392,0.59
2026-04-16,바라클라바,15498,2831,0.47
2026-04-23,바라클라바,18000,1339,0.28
2026-04-30,바라클라바,19715,2994,0.7
2026-05-07,바라클라바,19385,2342,0.57
2026-05-14,바라클라바,21437,1596,0.63
2026-05-21,바라클라바,23430,1958,0.72
2026-05-28,바라클라바,29392,2966,0.91
2026-06-04,바라클라바,31475,1985,0.68
2026-06-11,바라클라바,31355,678,0.46
2026-06-18,바라클라바,39761,991,0.49
2026-06-25,바라클라바,39527,1550,0.52
2026-01-01,여름 원피스,2326,2008,0.5
2026-01-08,여름 원피스,2733,1648,0.78
2026-01-15,여름 원피스,2668,339,0.8
2026-01-22,여름 원피스,2763,2642,0.45
2026-01-29,여름 원피스,3246,1750,0.41
2026-02-05,여름 원피스,3194,320,0.85
2026-02-12,여름 원피스,3560,646,0.6
2026-02-19,여름 원피스,3457,851,0.24
2026-02-26,여름 원피스,3498,1479,0.54
2026-03-05,여름 원피스,3528,1289,0.66
2026-03-12,여름 원피스,3213,743,0.35
2026-03-19,여름 원피스,3099,499,0.48
2026-03-26,여름 원피스,3533,367,0.24
2026-04-02,여름 원피스,3309,400,0.94
2026-04-09,여름 원피스,3085,2372,0.81
2026-04-16,여름 원피스,2880,2717,0.93
2026-04-23,여름 원피스,2981,1783,0.63
2026-04-30,여름 원피스,2671,996,0.26
2026-05-07,여름 원피스,2363,1018,0.66
2026-05-14,여름 원피스,2522,1590,0.73
2026-05-21,여름 원피스,2054,70,0.89
2026-05-28,여름 원피스,2103,2357,0.3
2026-06-04,여름 원피스,1787,1019,0.5
2026-06-11,여름 원피스,1701,1794,0.76
2026-06-18,여름 원피스,1450,1764,0.26
2026-06-25,여름 원피스,1213,907,0.86
2026-01-01,슬림 팬츠,58301,1691,0.47
2026-01-08,슬림 팬츠,62346,1193,0.79
2026-01-15,슬림 팬츠,60284,1516,0.86
2026-01-22,슬림 팬츠,53492,473,0.83
2026-01-29,슬림 팬츠,54045,835,0.85
2026-02-05,슬림 팬츠,48093,1277,0.62
2026-02-12,슬림 팬츠,52405,892,0.25
2026-02-19,슬림 팬츠,46363,674,0.22
2026-02-26,슬림 팬츠,44608,2796,0.32
2026-03-05,슬림 팬츠,45343,2549,0.21
2026-03-12,슬림 팬츠,38774,2294,0.27
2026-03-19,슬림 팬츠,35594,2764,0.41
2026-03-26,슬림 팬츠,34393,606,0.94
2026-04-02,슬림 팬츠,37291,2272,0.47
2026-04-09,슬림 팬츠,33789,329,0.71
2026-04-16,슬림 팬츠,28554,2360,0.38
2026-04-23,슬림 팬츠,29856,1283,0.31
2026-04-30,슬림 팬츠,25977,2070,0.75
2026-05-07,슬림 팬츠,24422,2670,0.89
2026-05-14,슬림 팬츠,25370,1113,0.44
2026-05-21,슬림 팬츠,23772,2575,0.81
2026-05-28,슬림 팬츠,20516,163,0.69
2026-06-04,슬림 팬츠,19813,2602,0.4
2026-06-11,슬림 팬츠,21368,933,0.79
2026-06-18,슬림 팬츠,17680,2257,0.56
2026-06-25,슬림 팬츠,15888,90,0.3
2026-01-01,롱 패딩,48974,2319,0.37
2026-01-08,롱 패딩,54954,1323,0.92
2026-01-15,롱 패딩,53056,1905,0.65
2026-01-22,롱 패딩,54433,2267,0.86
2026-01-29,롱 패딩,47476,2439,0.31
2026-02-05,롱 패딩,49764,937,0.85
2026-02-12,롱 패딩,53383,2422,0.71
2026-02-19,롱 패딩,53774,740,0.91
2026-02-26,롱 패딩,50840,2043,0.86
2026-03-05,롱 패딩,55428,2544,0.48
2026-03-12,롱 패딩,48212,2235,0.2
2026-03-19,롱 패딩,52863,497,0.24
2026-03-26,롱 패딩,51440,946,0.76
2026-04-02,롱 패딩,50796,1873,0.85
2026-04-09,롱 패딩,56801,2623,0.73
2026-04-16,롱 패딩,53899,947,0.34
2026-04-23,롱 패딩,50455,55,0.73
2026-04-30,롱 패딩,46934,1929,0.47
2026-05-07,롱 패딩,55625,2802,0.52
2026-05-14,롱 패딩,50397,2428,0.33
2026-05-21,롱 패딩,55355,811,0.57
2026-05-28,롱 패딩,55309,2428,0.34
2026-06-04,롱 패딩,47661,302,0.53
2026-06-11,롱 패딩,45779,1122,0.67
2026-06-18,롱 패딩,52447,1060,0.74
2026-06-25,롱 패딩,46478,1030,0.29
2026-01-01,토트백,37140,778,0.78
2026-01-08,토트백,38241,2344,0.94
2026-01-15,토트백,43573,1385,0.58
2026-01-22,토트백,44330,678,0.31
2026-01-29,토트백,49486,1704,0.85
2026-02-05,토트백,51636,2200,0.92
2026-02-12,토트백,46292,270,0.27
2026-02-19,토트백,51804,1151,0.81
2026-02-26,토트백,60689,989,0.26
2026-03-05,토트백,64732,1048,0.49
2026-03-12,토트백,62378,1575,0.71
2026-03-19,토트백,63879,1201,0.68
2026-03-26,토트백,74071,629,0.73
2026-04-02,토트백,70686,249,0.28
2026-04-09,토트백,77046,1074,0.79
2026-04-16,토트백,75188,420,0.69
2026-04-23,토트백,75724,2664,0.55
2026-04-30,토트백,93295,1787,0.94
2026-05-07,토트백,89586,2884,0.71
2026-05-14,토트백,90601,1233,0.64
2026-05-21,토트백,92471,2987,0.8
2026-05-28,토트백,102738,1202,0.48
2026-06-04,토트백,107921,1229,0.81
2026-06-11,토트백,101973,1986,0.39
2026-06-18,토트백,123387,929,0.78
2026-06-25,토트백,119137,1971,0.9
2026-01-01,데님 스커트,63152,409,0.24
2026-01-08,데님 스커트,62787,2925,0.43
2026-01-15,데님 스커트,60688,396,0.33
2026-01-22,데님 스커트,63817,1884,0.23
2026-01-29,데님 스커트,56059,1225,0.64
2026-02-05,데님 스커트,53674,2632,0.34
2026-02-12,데님 스커트,59031,1327,0.72
2026-02-19,데님 스커트,65825,288,0.33
2026-02-26,데님 스커트,66095,1296,0.45
2026-03-05,데님 스커트,59769,779,0.24
2026-03-12,데님 스커트,62500,346,0.42
2026-03-19,데님 스커트,58778,222,0.84
2026-03-26,데님 스커트,66031,703,0.82
2026-04-02,데님 스커트,60668,707,0.49
2026-04-09,데님 스커트,59735,2914,0.67
2026-04-16,데님 스커트,65906,95,0.25
2026-04-23,데님 스커트,58642,2157,0.77
2026-04-30,데님 스커트,63275,903,0.47
2026-05-07,데님 스커트,57765,1378,0.34
2026-05-14,데님 스커트,54391,1774,0.74
2026-05-21,데님 스커트,54681,2607,0.8
2026-05-28,데님 스커트,62829,422,0.3
2026-06-04,데님 스커트,63059,2838,0.35
2026-06-11,데님 스커트,62351,2321,0.29
2026-06-18,데님 스커트,51716,2698,0.67
2026-06-25,데님 스커트,50380,338,0.66
2026-01-01,반팔 니트,17809,585,0.54
2026-01-08,반팔 니트,20360,2324,0.33
2026-01-15,반팔 니트,23823,328,0.64
2026-01-22,반팔 니트,27320,2800,0.59
2026-01-29,반팔 니트,29946,1159,0.74
2026-02-05,반팔 니트,37262,2556,0.3
2026-02-12,반팔 니트,36267,1056,0.31
2026-02-19,반팔 니트,42088,2549,0.26
2026-02-26,반팔 니트,42935,2092,0.35
2026-03-05,반팔 니트,50655,2286,0.94
2026-03-12,반팔 니트,55784,2816,0.93
2026-03-19,반팔 니트,52489,786,0.69
2026-03-26,반팔 니트,56112,1160,0.54
2026-04-02,반팔 니트,56089,2392,0.72
2026-04-09,반팔 니트,61159,2611,0.75
2026-04-16,반팔 니트,57234,2574,0.39
2026-04-23,반팔 니트,61028,806,0.23
2026-04-30,반팔 니트,58351,2380,0.82
2026-05-07,반팔 니트,61111,2467,0.94
2026-05-14,반팔 니트,63923,2106,0.61
2026-05-21,반팔 니트,59401,2981,0.74
2026-05-28,반팔 니트,58538,1831,0.6
2026-06-04,반팔 니트,63425,2669,0.44
2026-06-11,반팔 니트,54028,1288,0.75
2026-06-18,반팔 니트,50619,2775,0.36
2026-06-25,반팔 니트,45465,1398,0.88
2026-01-01,시어서커 셔츠,22182,1105,0.79
2026-01-08,시어서커 셔츠,26486,2025,0.6
2026-01-15,시어서커 셔츠,25164,1863,0.78
2026-01-22,시어서커 셔츠,32129,59,0.24
2026-01-29,시어서커 셔츠,38631,2818,0.68
2026-02-05,시어서커 셔츠,40626,1642,0.29
2026-02-12,시어서커 셔츠,46974,2219,0.24
2026-02-19,시어서커 셔츠,48210,1852,0.64
2026-02-26,시어서커 셔츠,49637,2893,0.46
2026-03-05,시어서커 셔츠,51694,2923,0.63
2026-03-12,시어서커 셔츠,53354,1102,0.25
2026-03-19,시어서커 셔츠,59857,656,0.65
2026-03-26,시어서커 셔츠,65163,1678,0.48
2026-04-02,시어서커 셔츠,63144,1930,0.53
2026-04-09,시어서커 셔츠,62254,1943,0.61
2026-04-16,시어서커 셔츠,72043,1446,0.82
2026-04-23,시어서커 셔츠,70947,1740,0.87
2026-04-30,시어서커 셔츠,63403,467,0.52
2026-05-07,시어서커 셔츠,66370,496,0.55
2026-05-14,시어서커 셔츠,66302,1468,0.77
2026-05-21,시어서커 셔츠,71465,517,0.44
2026-05-28,시어서커 셔츠,61600,382,0.39
2026-06-04,시어서커 셔츠,63574,886,0.75
2026-06-11,시어서커 셔츠,63291,1536,0.58
2026-06-18,시어서커 셔츠,52954,2926,0.67
2026-06-25,시어서커 셔츠,58950,512,0.55
2026-01-01,가디건,24103,1790,0.88
2026-01-08,가디건,23643,570,0.64
2026-01-15,가디건,26881,528,0.28
2026-01-22,가디건,31517,158,0.41
2026-01-29,가디건,34691,2289,0.95
2026-02-05,가디건,37710,1665,0.63
2026-02-12,가디건,47185,766,0.66
2026-02-19,가디건,48229,1686,0.71
2026-02-26,가디건,59459,2486,0.9
2026-03-05,가디건,56943,2197,0.3
2026-03-12,가디건,66110,2706,0.8
2026-03-19,가디건,74580,1371,0.72
2026-03-26,가디건,78958,364,0.33
2026-04-02,가디건,99922,2853,0.78
2026-04-09,가디건,117762,1182,0.71
2026-04-16,가디건,128628,565,0.69
2026-04-23,가디건,139451,938,0.72
2026-04-30,가디건,137532,2646,0.29
2026-05-07,가디건,167221,196,0.31
2026-05-14,가디건,189945,1614,0.27
2026-05-21,가디건,223865,1081,0.3
2026-05-28,가디건,243255,775,0.69
2026-06-04,가디건,237474,1839,0.3
2026-06-11,가디건,290200,2330,0.63
2026-06-18,가디건,283616,1564,0.74
2026-06-25,가디건,332654,712,0.54
